Categorii de pomi fructiferi, Forme de proprietate, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Pruni, Total, Satu Mare, Anul 2004, Numar, 1190272
Pruni, Total, Satu Mare, Anul 2005, Numar, 1328565
Pruni, Total, Satu Mare, Anul 2006, Numar, 1079946
Pruni, Total, Satu Mare, Anul 2007, Numar, 1408448
Pruni, Total, Satu Mare, Anul 2008, Numar, 1220438
Pruni, Total, Satu Mare, Anul 2009, Numar, 1208102
Pruni, Total, Satu Mare, Anul 2010, Numar, 1286834
Pruni, Total, Satu Mare, Anul 2011, Numar, 1155413
Pruni, Total, Satu Mare, Anul 2012, Numar, 1164402
Pruni, Total, Satu Mare, Anul 2013, Numar, 1164706
Pruni, Total, Satu Mare, Anul 2014, Numar, 1159246
Pruni, Total, Satu Mare, Anul 2015, Numar, 1171404
Pruni, Total, Satu Mare, Anul 2016, Numar, 1165073
Pruni, Total, Satu Mare, Anul 2017, Numar, 1164684
Pruni, Total, Satu Mare, Anul 2018, Numar, 1154105
Pruni, Total, Satu Mare, Anul 2019, Numar, 1151187
Pruni, Total, Satu Mare, Anul 2020, Numar, 1156339
Pruni, Total, Satu Mare, Anul 2021, Numar, 1196760
Pruni, Total, Satu Mare, Anul 2022, Numar, 1176730
Pruni, Total, Satu Mare, Anul 2023, Numar, 1229800
Pruni, Total, Satu Mare, Anul 2024, Numar, 1226237
Pruni, Total, Salaj, Anul 2000, Numar, 1328280
Pruni, Total, Salaj, Anul 2001, Numar, 1466472
Pruni, Total, Salaj, Anul 2002, Numar, 1469669
Pruni, Total, Salaj, Anul 2003, Numar, 1477072
Pruni, Total, Salaj, Anul 2004, Numar, 1468687
Pruni, Total, Salaj, Anul 2005, Numar, 1614187
Pruni, Total, Salaj, Anul 2006, Numar, 1238047
Pruni, Total, Salaj, Anul 2007, Numar, 1830340
Pruni, Total, Salaj, Anul 2008, Numar, 1721125
Pruni, Total, Salaj, Anul 2009, Numar, 1737379
Pruni, Total, Salaj, Anul 2010, Numar, 1715031
Pruni, Total, Salaj, Anul 2011, Numar, 1765699
Pruni, Total, Salaj, Anul 2012, Numar, 1785126
Pruni, Total, Salaj, Anul 2013, Numar, 1822229
Pruni, Total, Salaj, Anul 2014, Numar, 1780089
Pruni, Total, Salaj, Anul 2015, Numar, 1700590
Pruni, Total, Salaj, Anul 2016, Numar, 1672716
Pruni, Total, Salaj, Anul 2017, Numar, 1652912
Pruni, Total, Salaj, Anul 2018, Numar, 1663126
Pruni, Total, Salaj, Anul 2019, Numar, 1668719
Pruni, Total, Salaj, Anul 2020, Numar, 1668061
Pruni, Total, Salaj, Anul 2021, Numar, 1678757
Pruni, Total, Salaj, Anul 2022, Numar, 1673452
Pruni, Total, Salaj, Anul 2023, Numar, 1696935
Pruni, Total, Salaj, Anul 2024, Numar, 1687895
Pruni, Total, Alba, Anul 2000, Numar, 832072
Pruni, Total, Alba, Anul 2001, Numar, 799460
Pruni, Total, Alba, Anul 2002, Numar, 809892
Pruni, Total, Alba, Anul 2003, Numar, 811024
Pruni, Total, Alba, Anul 2004, Numar, 882821
Pruni, Total, Alba, Anul 2005, Numar, 864728
Pruni, Total, Alba, Anul 2006, Numar, 1060708
Pruni, Total, Alba, Anul 2007, Numar, 543253
Pruni, Total, Alba, Anul 2008, Numar, 542071
Pruni, Total, Alba, Anul 2009, Numar, 539472
Pruni, Total, Alba, Anul 2010, Numar, 564556
Pruni, Total, Alba, Anul 2011, Numar, 530338
Pruni, Total, Alba, Anul 2012, Numar, 565941
Pruni, Total, Alba, Anul 2013, Numar, 532886
Pruni, Total, Alba, Anul 2014, Numar, 618523
Pruni, Total, Alba, Anul 2015, Numar, 532492
Pruni, Total, Alba, Anul 2016, Numar, 522754
Pruni, Total, Alba, Anul 2017, Numar, 516092
Pruni, Total, Alba, Anul 2018, Numar, 521266
Pruni, Total, Alba, Anul 2019, Numar, 522268
Pruni, Total, Alba, Anul 2020, Numar, 518497
Pruni, Total, Alba, Anul 2021, Numar, 532404
Pruni, Total, Alba, Anul 2022, Numar, 539082
Pruni, Total, Alba, Anul 2023, Numar, 534243
Pruni, Total, Alba, Anul 2024, Numar, 528948
Pruni, Total, Brasov, Anul 2000, Numar, 211678
Pruni, Total, Brasov, Anul 2001, Numar, 242681
Pruni, Total, Brasov, Anul 2002, Numar, 201838
Pruni, Total, Brasov, Anul 2003, Numar, 247370
Pruni, Total, Brasov, Anul 2004, Numar, 256010
Pruni, Total, Brasov, Anul 2005, Numar, 187100
Pruni, Total, Brasov, Anul 2006, Numar, 213852
Pruni, Total, Brasov, Anul 2007, Numar, 449001
Pruni, Total, Brasov, Anul 2008, Numar, 282041
Pruni, Total, Brasov, Anul 2009, Numar, 254495
Pruni, Total, Brasov, Anul 2010, Numar, 245088
Pruni, Total, Brasov, Anul 2011, Numar, 250277
Pruni, Total, Brasov, Anul 2012, Numar, 250167
Pruni, Total, Brasov, Anul 2013, Numar, 249263
Pruni, Total, Brasov, Anul 2014, Numar, 247353
Pruni, Total, Brasov, Anul 2015, Numar, 243857
Pruni, Total, Brasov, Anul 2016, Numar, 243862
Pruni, Total, Brasov, Anul 2017, Numar, 248957
Pruni, Total, Brasov, Anul 2018, Numar, 243908
Pruni, Total, Brasov, Anul 2019, Numar, 243913
Pruni, Total, Brasov, Anul 2020, Numar, 243832
Pruni, Total, Brasov, Anul 2021, Numar, 247156
Pruni, Total, Brasov, Anul 2022, Numar, 243562
Pruni, Total, Brasov, Anul 2023, Numar, 251668
Pruni, Total, Brasov, Anul 2024, Numar, 256269
Pruni, Total, Covasna, Anul 2000, Numar, 158444
Pruni, Total, Covasna, Anul 2001, Numar, 160083
Pruni, Total, Covasna, Anul 2002, Numar, 153501
Pruni, Total, Covasna, Anul 2003, Numar, 149246
Pruni, Total, Covasna, Anul 2004, Numar, 145554
Pruni, Total, Covasna, Anul 2005, Numar, 70063
Pruni, Total, Covasna, Anul 2006, Numar, 123859
Pruni, Total, Covasna, Anul 2007, Numar, 112867
Pruni, Total, Covasna, Anul 2008, Numar, 1112346
Pruni, Total, Covasna, Anul 2009, Numar, 1154334
Pruni, Total, Covasna, Anul 2010, Numar, 945914
Pruni, Total, Covasna, Anul 2011, Numar, 170373
Pruni, Total, Covasna, Anul 2012, Numar, 170758
Pruni, Total, Covasna, Anul 2013, Numar, 170262
Pruni, Total, Covasna, Anul 2014, Numar, 169783
Pruni, Total, Covasna, Anul 2015, Numar, 168917
Pruni, Total, Covasna, Anul 2016, Numar, 168173
Pruni, Total, Covasna, Anul 2017, Numar, 167820
Pruni, Total, Covasna, Anul 2018, Numar, 168135
Pruni, Total, Covasna, Anul 2019, Numar, 168125
Pruni, Total, Covasna, Anul 2020, Numar, 168128
Pruni, Total, Covasna, Anul 2021, Numar, 168292
Pruni, Total, Covasna, Anul 2022, Numar, 168252
Pruni, Total, Covasna, Anul 2023, Numar, 169657
Pruni, Total, Covasna, Anul 2024, Numar, 169354
Pruni, Total, Harghita, Anul 2000, Numar, 366212
