Categorii de pomi fructiferi, Forme de proprietate, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar, Valoare
Meri, Total, Vaslui, Anul 2007, Numar, 545175
Meri, Total, Vaslui, Anul 2008, Numar, 446871
Meri, Total, Vaslui, Anul 2009, Numar, 367569
Meri, Total, Vaslui, Anul 2010, Numar, 336280
Meri, Total, Vaslui, Anul 2011, Numar, 619788
Meri, Total, Vaslui, Anul 2012, Numar, 408981
Meri, Total, Vaslui, Anul 2013, Numar, 241997
Meri, Total, Vaslui, Anul 2014, Numar, 525612
Meri, Total, Vaslui, Anul 2015, Numar, 592277
Meri, Total, Vaslui, Anul 2016, Numar, 624138
Meri, Total, Vaslui, Anul 2017, Numar, 617045
Meri, Total, Vaslui, Anul 2018, Numar, 5110865
Meri, Total, Vaslui, Anul 2019, Numar, 586494
Meri, Total, Vaslui, Anul 2020, Numar, 465624
Meri, Total, Vaslui, Anul 2021, Numar, 211996
Meri, Total, Vaslui, Anul 2022, Numar, 366980
Meri, Total, Vaslui, Anul 2023, Numar, 252142
Meri, Total, Vaslui, Anul 2024, Numar, 228100
Meri, Total, Braila, Anul 2000, Numar, 121584
Meri, Total, Braila, Anul 2001, Numar, 133919
Meri, Total, Braila, Anul 2002, Numar, 113896
Meri, Total, Braila, Anul 2003, Numar, 110433
Meri, Total, Braila, Anul 2004, Numar, 99947
Meri, Total, Braila, Anul 2005, Numar, 57165
Meri, Total, Braila, Anul 2006, Numar, 107716
Meri, Total, Braila, Anul 2007, Numar, 46976
Meri, Total, Braila, Anul 2008, Numar, 95785
Meri, Total, Braila, Anul 2009, Numar, 72002
Meri, Total, Braila, Anul 2010, Numar, 77028
Meri, Total, Braila, Anul 2011, Numar, 90586
Meri, Total, Braila, Anul 2012, Numar, 74170
Meri, Total, Braila, Anul 2013, Numar, 82832
Meri, Total, Braila, Anul 2014, Numar, 89617
Meri, Total, Braila, Anul 2015, Numar, 65487
Meri, Total, Braila, Anul 2016, Numar, 61561
Meri, Total, Braila, Anul 2017, Numar, 61885
Meri, Total, Braila, Anul 2018, Numar, 72425
Meri, Total, Braila, Anul 2019, Numar, 107006
Meri, Total, Braila, Anul 2020, Numar, 107472
Meri, Total, Braila, Anul 2021, Numar, 60597
Meri, Total, Braila, Anul 2022, Numar, 61916
Meri, Total, Braila, Anul 2023, Numar, 54669
Meri, Total, Braila, Anul 2024, Numar, 53042
Meri, Total, Buzau, Anul 2000, Numar, 864126
Meri, Total, Buzau, Anul 2001, Numar, 856545
Meri, Total, Buzau, Anul 2002, Numar, 842407
Meri, Total, Buzau, Anul 2003, Numar, 724275
Meri, Total, Buzau, Anul 2004, Numar, 753808
Meri, Total, Buzau, Anul 2005, Numar, 743436
Meri, Total, Buzau, Anul 2006, Numar, 590786
Meri, Total, Buzau, Anul 2007, Numar, 765021
Meri, Total, Buzau, Anul 2008, Numar, 760784
Meri, Total, Buzau, Anul 2009, Numar, 684045
Meri, Total, Buzau, Anul 2010, Numar, 726483
Meri, Total, Buzau, Anul 2011, Numar, 692000
Meri, Total, Buzau, Anul 2012, Numar, 697176
Meri, Total, Buzau, Anul 2013, Numar, 686685
Meri, Total, Buzau, Anul 2014, Numar, 691698
Meri, Total, Buzau, Anul 2015, Numar, 691302
Meri, Total, Buzau, Anul 2016, Numar, 703838
Meri, Total, Buzau, Anul 2017, Numar, 706476
Meri, Total, Buzau, Anul 2018, Numar, 685082
Meri, Total, Buzau, Anul 2019, Numar, 689408
Meri, Total, Buzau, Anul 2020, Numar, 694252
Meri, Total, Buzau, Anul 2021, Numar, 685095
Meri, Total, Buzau, Anul 2022, Numar, 684296
Meri, Total, Buzau, Anul 2023, Numar, 668247
Meri, Total, Buzau, Anul 2024, Numar, 671283
Meri, Total, Constanta, Anul 2000, Numar, 307559
Meri, Total, Constanta, Anul 2001, Numar, 303345
Meri, Total, Constanta, Anul 2002, Numar, 315102
Meri, Total, Constanta, Anul 2003, Numar, 233804
Meri, Total, Constanta, Anul 2004, Numar, 142125
Meri, Total, Constanta, Anul 2005, Numar, 264596
Meri, Total, Constanta, Anul 2006, Numar, 169204
Meri, Total, Constanta, Anul 2007, Numar, 215103
Meri, Total, Constanta, Anul 2008, Numar, 127602
Meri, Total, Constanta, Anul 2009, Numar, 81090
Meri, Total, Constanta, Anul 2010, Numar, 114486
Meri, Total, Constanta, Anul 2011, Numar, 118532
Meri, Total, Constanta, Anul 2012, Numar, 120432
Meri, Total, Constanta, Anul 2013, Numar, 69555
Meri, Total, Constanta, Anul 2014, Numar, 121940
Meri, Total, Constanta, Anul 2015, Numar, 64487
Meri, Total, Constanta, Anul 2016, Numar, 47383
Meri, Total, Constanta, Anul 2017, Numar, 47013
Meri, Total, Constanta, Anul 2018, Numar, 41074
Meri, Total, Constanta, Anul 2019, Numar, 41748
Meri, Total, Constanta, Anul 2020, Numar, 40586
Meri, Total, Constanta, Anul 2021, Numar, 41054
Meri, Total, Constanta, Anul 2022, Numar, 39820
Meri, Total, Constanta, Anul 2023, Numar, 42069
Meri, Total, Constanta, Anul 2024, Numar, 42097
Meri, Total, Galati, Anul 2000, Numar, 402791
Meri, Total, Galati, Anul 2001, Numar, 422009
Meri, Total, Galati, Anul 2002, Numar, 405434
Meri, Total, Galati, Anul 2003, Numar, 454314
Meri, Total, Galati, Anul 2004, Numar, 431713
Meri, Total, Galati, Anul 2005, Numar, 488771
Meri, Total, Galati, Anul 2006, Numar, 314944
Meri, Total, Galati, Anul 2007, Numar, 164867
Meri, Total, Galati, Anul 2008, Numar, 184247
Meri, Total, Galati, Anul 2009, Numar, 228709
Meri, Total, Galati, Anul 2010, Numar, 261856
Meri, Total, Galati, Anul 2011, Numar, 202941
Meri, Total, Galati, Anul 2012, Numar, 181671
Meri, Total, Galati, Anul 2013, Numar, 146683
Meri, Total, Galati, Anul 2014, Numar, 146328
Meri, Total, Galati, Anul 2015, Numar, 196302
Meri, Total, Galati, Anul 2016, Numar, 167377
Meri, Total, Galati, Anul 2017, Numar, 174127
Meri, Total, Galati, Anul 2018, Numar, 216293
Meri, Total, Galati, Anul 2019, Numar, 130169
Meri, Total, Galati, Anul 2020, Numar, 137445
Meri, Total, Galati, Anul 2021, Numar, 154068
Meri, Total, Galati, Anul 2022, Numar, 150525
Meri, Total, Galati, Anul 2023, Numar, 134616
Meri, Total, Galati, Anul 2024, Numar, 196155
Meri, Total, Tulcea, Anul 2000, Numar, 187522
Meri, Total, Tulcea, Anul 2001, Numar, 143005
Meri, Total, Tulcea, Anul 2002, Numar, 177623
Meri, Total, Tulcea, Anul 2003, Numar, 167936
Meri, Total, Tulcea, Anul 2004, Numar, 180940
Meri, Total, Tulcea, Anul 2005, Numar, 293910
Meri, Total, Tulcea, Anul 2006, Numar, 71905
Meri, Total, Tulcea, Anul 2007, Numar, 33601
Meri, Total, Tulcea, Anul 2008, Numar, 76950
Meri, Total, Tulcea, Anul 2009, Numar, 94944
Meri, Total, Tulcea, Anul 2010, Numar, 93644
Meri, Total, Tulcea, Anul 2011, Numar, 95332
Meri, Total, Tulcea, Anul 2012, Numar, 95527
Meri, Total, Tulcea, Anul 2013, Numar, 93137
Meri, Total, Tulcea, Anul 2014, Numar, 92249
Meri, Total, Tulcea, Anul 2015, Numar, 70712
Meri, Total, Tulcea, Anul 2016, Numar, 69085
Meri, Total, Tulcea, Anul 2017, Numar, 69145
Meri, Total, Tulcea, Anul 2018, Numar, 69140
Meri, Total, Tulcea, Anul 2019, Numar, 69183
Meri, Total, Tulcea, Anul 2020, Numar, 69542
Meri, Total, Tulcea, Anul 2021, Numar, 69692
Meri, Total, Tulcea, Anul 2022, Numar, 69757
Meri, Total, Tulcea, Anul 2023, Numar, 69797
Meri, Total, Tulcea, Anul 2024, Numar, 70262
Meri, Total, Vrancea, Anul 2000, Numar, 891578
Meri, Total, Vrancea, Anul 2001, Numar, 773657
Meri, Total, Vrancea, Anul 2002, Numar, 766154
Meri, Total, Vrancea, Anul 2003, Numar, 695592
Meri, Total, Vrancea, Anul 2004, Numar, 783435
Meri, Total, Vrancea, Anul 2005, Numar, 772963
Meri, Total, Vrancea, Anul 2006, Numar, 736117
Meri, Total, Vrancea, Anul 2007, Numar, 670037
Meri, Total, Vrancea, Anul 2008, Numar, 637533
Meri, Total, Vrancea, Anul 2009, Numar, 644732
Meri, Total, Vrancea, Anul 2010, Numar, 667829
Meri, Total, Vrancea, Anul 2011, Numar, 694949
Meri, Total, Vrancea, Anul 2012, Numar, 942257
Meri, Total, Vrancea, Anul 2013, Numar, 887643
Meri, Total, Vrancea, Anul 2014, Numar, 682408
Meri, Total, Vrancea, Anul 2015, Numar, 668608
Meri, Total, Vrancea, Anul 2016, Numar, 903078
Meri, Total, Vrancea, Anul 2017, Numar, 898980
Meri, Total, Vrancea, Anul 2018, Numar, 664988
Meri, Total, Vrancea, Anul 2019, Numar, 664241
Meri, Total, Vrancea, Anul 2020, Numar, 663507
Meri, Total, Vrancea, Anul 2021, Numar, 669637
Meri, Total, Vrancea, Anul 2022, Numar, 667555
Meri, Total, Vrancea, Anul 2023, Numar, 730317
Meri, Total, Vrancea, Anul 2024, Numar, 711506
Meri, Total, Arges, Anul 2000, Numar, 1970372
Meri, Total, Arges, Anul 2001, Numar, 2131198
Meri, Total, Arges, Anul 2002, Numar, 1969397
Meri, Total, Arges, Anul 2003, Numar, 1824447
Meri, Total, Arges, Anul 2004, Numar, 1715474
Meri, Total, Arges, Anul 2005, Numar, 1555588
Meri, Total, Arges, Anul 2006, Numar, 1535142
Meri, Total, Arges, Anul 2007, Numar, 1965275
Meri, Total, Arges, Anul 2008, Numar, 1705137
Meri, Total, Arges, Anul 2009, Numar, 1830287
Meri, Total, Arges, Anul 2010, Numar, 1629827
Meri, Total, Arges, Anul 2011, Numar, 1615833
Meri, Total, Arges, Anul 2012, Numar, 1374862
Meri, Total, Arges, Anul 2013, Numar, 1438041
Meri, Total, Arges, Anul 2014, Numar, 1384084
Meri, Total, Arges, Anul 2015, Numar, 1323491
Meri, Total, Arges, Anul 2016, Numar, 1367401
Meri, Total, Arges, Anul 2017, Numar, 1290455
Meri, Total, Arges, Anul 2018, Numar, 1233336
Meri, Total, Arges, Anul 2019, Numar, 1240173
Meri, Total, Arges, Anul 2020, Numar, 1232718
Meri, Total, Arges, Anul 2021, Numar, 1230956
Meri, Total, Arges, Anul 2022, Numar, 1214901
Meri, Total, Arges, Anul 2023, Numar, 1244617
Meri, Total, Arges, Anul 2024, Numar, 1242744
Meri, Total, Calarasi, Anul 2000, Numar, 61003
Meri, Total, Calarasi, Anul 2001, Numar, 47613
Meri, Total, Calarasi, Anul 2002, Numar, 56086
Meri, Total, Calarasi, Anul 2003, Numar, 51234
Meri, Total, Calarasi, Anul 2004, Numar, 62897
Meri, Total, Calarasi, Anul 2005, Numar, 50866
Meri, Total, Calarasi, Anul 2006, Numar, 37891
Meri, Total, Calarasi, Anul 2007, Numar, 49303
Meri, Total, Calarasi, Anul 2008, Numar, 95895
Meri, Total, Calarasi, Anul 2009, Numar, 57246
Meri, Total, Calarasi, Anul 2010, Numar, 63740
Meri, Total, Calarasi, Anul 2011, Numar, 43791
Meri, Total, Calarasi, Anul 2012, Numar, 42451
Meri, Total, Calarasi, Anul 2013, Numar, 68690
Meri, Total, Calarasi, Anul 2014, Numar, 48837
Meri, Total, Calarasi, Anul 2015, Numar, 56359
Meri, Total, Calarasi, Anul 2016, Numar, 56201
Meri, Total, Calarasi, Anul 2017, Numar, 55247
Meri, Total, Calarasi, Anul 2018, Numar, 40288
Meri, Total, Calarasi, Anul 2019, Numar, 41133
Meri, Total, Calarasi, Anul 2020, Numar, 39775
Meri, Total, Calarasi, Anul 2021, Numar, 38847
Meri, Total, Calarasi, Anul 2022, Numar, 39005
Meri, Total, Calarasi, Anul 2023, Numar, 102804
Meri, Total, Calarasi, Anul 2024, Numar, 73137
Meri, Total, Dambovita, Anul 2000, Numar, 1566406
Meri, Total, Dambovita, Anul 2001, Numar, 1535726
Meri, Total, Dambovita, Anul 2002, Numar, 1637530
Meri, Total, Dambovita, Anul 2003, Numar, 1556145
Meri, Total, Dambovita, Anul 2004, Numar, 1578579
Meri, Total, Dambovita, Anul 2005, Numar, 1626116
Meri, Total, Dambovita, Anul 2006, Numar, 1538801
Meri, Total, Dambovita, Anul 2007, Numar, 1707366
Meri, Total, Dambovita, Anul 2008, Numar, 1668246
Meri, Total, Dambovita, Anul 2009, Numar, 1794961
Meri, Total, Dambovita, Anul 2010, Numar, 1983850
Meri, Total, Dambovita, Anul 2011, Numar, 1971164
Meri, Total, Dambovita, Anul 2012, Numar, 1370656
Meri, Total, Dambovita, Anul 2013, Numar, 1319787
Meri, Total, Dambovita, Anul 2014, Numar, 1301848
Meri, Total, Dambovita, Anul 2015, Numar, 1307791
Meri, Total, Dambovita, Anul 2016, Numar, 1304329
Meri, Total, Dambovita, Anul 2017, Numar, 1290572
Meri, Total, Dambovita, Anul 2018, Numar, 1277345
Meri, Total, Dambovita, Anul 2019, Numar, 1280089
Meri, Total, Dambovita, Anul 2020, Numar, 1429778
Meri, Total, Dambovita, Anul 2021, Numar, 1419665
Meri, Total, Dambovita, Anul 2022, Numar, 1418870
Meri, Total, Dambovita, Anul 2023, Numar, 1477417
Meri, Total, Dambovita, Anul 2024, Numar, 1434358
Meri, Total, Giurgiu, Anul 2000, Numar, 47541
Meri, Total, Giurgiu, Anul 2001, Numar, 46910
Meri, Total, Giurgiu, Anul 2002, Numar, 48596
Meri, Total, Giurgiu, Anul 2003, Numar, 44420
Meri, Total, Giurgiu, Anul 2004, Numar, 46028
Meri, Total, Giurgiu, Anul 2005, Numar, 45316
Meri, Total, Giurgiu, Anul 2006, Numar, 45261
Meri, Total, Giurgiu, Anul 2007, Numar, 63901
Meri, Total, Giurgiu, Anul 2008, Numar, 102491
Meri, Total, Giurgiu, Anul 2009, Numar, 76933
Meri, Total, Giurgiu, Anul 2010, Numar, 120085
Meri, Total, Giurgiu, Anul 2011, Numar, 60528
Meri, Total, Giurgiu, Anul 2012, Numar, 124653
Meri, Total, Giurgiu, Anul 2013, Numar, 124872
Meri, Total, Giurgiu, Anul 2014, Numar, 70616
Meri, Total, Giurgiu, Anul 2015, Numar, 89008
Meri, Total, Giurgiu, Anul 2016, Numar, 84891
Meri, Total, Giurgiu, Anul 2017, Numar, 84491
Meri, Total, Giurgiu, Anul 2018, Numar, 84711
Meri, Total, Giurgiu, Anul 2019, Numar, 85500
Meri, Total, Giurgiu, Anul 2020, Numar, 85511
Meri, Total, Giurgiu, Anul 2021, Numar, 86271
Meri, Total, Giurgiu, Anul 2022, Numar, 87249
Meri, Total, Giurgiu, Anul 2023, Numar, 148486
Meri, Total, Giurgiu, Anul 2024, Numar, 143875
Meri, Total, Ialomita, Anul 2000, Numar, 44552
Meri, Total, Ialomita, Anul 2001, Numar, 39786
Meri, Total, Ialomita, Anul 2002, Numar, 32165
Meri, Total, Ialomita, Anul 2003, Numar, 45032
Meri, Total, Ialomita, Anul 2004, Numar, 29253
Meri, Total, Ialomita, Anul 2005, Numar, 41664
Meri, Total, Ialomita, Anul 2006, Numar, 38331
Meri, Total, Ialomita, Anul 2007, Numar, 9461
Meri, Total, Ialomita, Anul 2008, Numar, 10954
Meri, Total, Ialomita, Anul 2009, Numar, 14759
Meri, Total, Ialomita, Anul 2010, Numar, 8954
Meri, Total, Ialomita, Anul 2011, Numar, 9723
Meri, Total, Ialomita, Anul 2012, Numar, 7446
Meri, Total, Ialomita, Anul 2013, Numar, 15459
Meri, Total, Ialomita, Anul 2014, Numar, 9728
Meri, Total, Ialomita, Anul 2015, Numar, 10078
Meri, Total, Ialomita, Anul 2016, Numar, 9004
Meri, Total, Ialomita, Anul 2017, Numar, 7972
Meri, Total, Ialomita, Anul 2018, Numar, 8093
Meri, Total, Ialomita, Anul 2019, Numar, 20715
Meri, Total, Ialomita, Anul 2020, Numar, 20649
Meri, Total, Ialomita, Anul 2021, Numar, 16848
Meri, Total, Ialomita, Anul 2022, Numar, 15775
Meri, Total, Ialomita, Anul 2023, Numar, 17740
Meri, Total, Ialomita, Anul 2024, Numar, 18266
Meri, Total, Prahova, Anul 2000, Numar, 1476501
Meri, Total, Prahova, Anul 2001, Numar, 1384988
Meri, Total, Prahova, Anul 2002, Numar, 1213948
Meri, Total, Prahova, Anul 2003, Numar, 1188513
Meri, Total, Prahova, Anul 2004, Numar, 1233964
Meri, Total, Prahova, Anul 2005, Numar, 1405642
Meri, Total, Prahova, Anul 2006, Numar, 762394
Meri, Total, Prahova, Anul 2007, Numar, 1124439
Meri, Total, Prahova, Anul 2008, Numar, 1141732
Meri, Total, Prahova, Anul 2009, Numar, 1113376
Meri, Total, Prahova, Anul 2010, Numar, 869613
Meri, Total, Prahova, Anul 2011, Numar, 867237
Meri, Total, Prahova, Anul 2012, Numar, 824504
Meri, Total, Prahova, Anul 2013, Numar, 813108
Meri, Total, Prahova, Anul 2014, Numar, 832995
Meri, Total, Prahova, Anul 2015, Numar, 821719
Meri, Total, Prahova, Anul 2016, Numar, 825121
Meri, Total, Prahova, Anul 2017, Numar, 824195
Meri, Total, Prahova, Anul 2018, Numar, 868658
Meri, Total, Prahova, Anul 2019, Numar, 811707
Meri, Total, Prahova, Anul 2020, Numar, 782168
Meri, Total, Prahova, Anul 2021, Numar, 762661
Meri, Total, Prahova, Anul 2022, Numar, 602329
Meri, Total, Prahova, Anul 2023, Numar, 644695
Meri, Total, Prahova, Anul 2024, Numar, 578936
Meri, Total, Teleorman, Anul 2000, Numar, 107785
Meri, Total, Teleorman, Anul 2001, Numar, 112636
Meri, Total, Teleorman, Anul 2002, Numar, 126390
Meri, Total, Teleorman, Anul 2003, Numar, 119219
Meri, Total, Teleorman, Anul 2004, Numar, 138599
Meri, Total, Teleorman, Anul 2005, Numar, 113602
Meri, Total, Teleorman, Anul 2006, Numar, 98649
Meri, Total, Teleorman, Anul 2007, Numar, 48916
Meri, Total, Teleorman, Anul 2008, Numar, 47389
Meri, Total, Teleorman, Anul 2009, Numar, 46964
Meri, Total, Teleorman, Anul 2010, Numar, 46501
Meri, Total, Teleorman, Anul 2011, Numar, 47074
Meri, Total, Teleorman, Anul 2012, Numar, 48446
Meri, Total, Teleorman, Anul 2013, Numar, 48226
Meri, Total, Teleorman, Anul 2014, Numar, 49460
Meri, Total, Teleorman, Anul 2015, Numar, 130000
Meri, Total, Teleorman, Anul 2016, Numar, 49895
Meri, Total, Teleorman, Anul 2017, Numar, 49513
Meri, Total, Teleorman, Anul 2018, Numar, 50353
Meri, Total, Teleorman, Anul 2019, Numar, 49854
Meri, Total, Teleorman, Anul 2020, Numar, 50188
Meri, Total, Teleorman, Anul 2021, Numar, 50394
Meri, Total, Teleorman, Anul 2022, Numar, 50817
Meri, Total, Teleorman, Anul 2023, Numar, 51044
Meri, Total, Teleorman, Anul 2024, Numar, 49627
Meri, Total, Ilfov, Anul 2000, Numar, 156818
Meri, Total, Ilfov, Anul 2001, Numar, 200839
Meri, Total, Ilfov, Anul 2002, Numar, 182837
Meri, Total, Ilfov, Anul 2003, Numar, 81480
Meri, Total, Ilfov, Anul 2004, Numar, 60824
Meri, Total, Ilfov, Anul 2005, Numar, 77426
Meri, Total, Ilfov, Anul 2006, Numar, 66884
Meri, Total, Ilfov, Anul 2007, Numar, 29733
Meri, Total, Ilfov, Anul 2008, Numar, 39447
Meri, Total, Ilfov, Anul 2009, Numar, 41001
Meri, Total, Ilfov, Anul 2010, Numar, 58490
Meri, Total, Ilfov, Anul 2011, Numar, 25252
Meri, Total, Ilfov, Anul 2012, Numar, 65865
Meri, Total, Ilfov, Anul 2013, Numar, 60274
Meri, Total, Ilfov, Anul 2014, Numar, 58978
Meri, Total, Ilfov, Anul 2015, Numar, 57313
Meri, Total, Ilfov, Anul 2016, Numar, 57187
Meri, Total, Ilfov, Anul 2017, Numar, 57001
Meri, Total, Ilfov, Anul 2018, Numar, 58830
Meri, Total, Ilfov, Anul 2019, Numar, 60209
Meri, Total, Ilfov, Anul 2020, Numar, 62739
Meri, Total, Ilfov, Anul 2021, Numar, 64341
Meri, Total, Ilfov, Anul 2022, Numar, 64075
Meri, Total, Ilfov, Anul 2023, Numar, 64482
Meri, Total, Ilfov, Anul 2024, Numar, 55319
Meri, Total, Municipiul Bucuresti, Anul 2000, Numar, 34912
Meri, Total, Municipiul Bucuresti, Anul 2001, Numar, 32018
Meri, Total, Municipiul Bucuresti, Anul 2002, Numar, 13641
Meri, Total, Municipiul Bucuresti, Anul 2003, Numar, 12728
Meri, Total, Municipiul Bucuresti, Anul 2004, Numar, 7915
Meri, Total, Municipiul Bucuresti, Anul 2005, Numar, 7935
Meri, Total, Municipiul Bucuresti, Anul 2006, Numar, 7941
Meri, Total, Municipiul Bucuresti, Anul 2007, Numar, 12952
Meri, Total, Municipiul Bucuresti, Anul 2008, Numar, 14195
Meri, Total, Municipiul Bucuresti, Anul 2009, Numar, 10635
Meri, Total, Municipiul Bucuresti, Anul 2010, Numar, 25209
Meri, Total, Municipiul Bucuresti, Anul 2011, Numar, 17986
Meri, Total, Municipiul Bucuresti, Anul 2012, Numar, 4225
Meri, Total, Municipiul Bucuresti, Anul 2013, Numar, 2530
Meri, Total, Municipiul Bucuresti, Anul 2014, Numar, 1702
Meri, Total, Municipiul Bucuresti, Anul 2015, Numar, 1500
Meri, Total, Municipiul Bucuresti, Anul 2016, Numar, 1500
Meri, Total, Municipiul Bucuresti, Anul 2018, Numar, 2
Meri, Total, Municipiul Bucuresti, Anul 2021, Numar, 597
Meri, Total, Municipiul Bucuresti, Anul 2022, Numar, 570
Meri, Total, Municipiul Bucuresti, Anul 2023, Numar, 973
Meri, Total, Municipiul Bucuresti, Anul 2024, Numar, 973
Meri, Total, Dolj, Anul 2000, Numar, 1357025
Meri, Total, Dolj, Anul 2001, Numar, 1216090
Meri, Total, Dolj, Anul 2002, Numar, 1146108
Meri, Total, Dolj, Anul 2003, Numar, 1390847
Meri, Total, Dolj, Anul 2004, Numar, 1350295
Meri, Total, Dolj, Anul 2005, Numar, 850302
Meri, Total, Dolj, Anul 2006, Numar, 485470
Meri, Total, Dolj, Anul 2007, Numar, 193000
Meri, Total, Dolj, Anul 2008, Numar, 160722
Meri, Total, Dolj, Anul 2009, Numar, 129796
Meri, Total, Dolj, Anul 2010, Numar, 143723
Meri, Total, Dolj, Anul 2011, Numar, 135585
Meri, Total, Dolj, Anul 2012, Numar, 159837
Meri, Total, Dolj, Anul 2013, Numar, 178292
Meri, Total, Dolj, Anul 2014, Numar, 146797
Meri, Total, Dolj, Anul 2015, Numar, 118105
Meri, Total, Dolj, Anul 2016, Numar, 131787
Meri, Total, Dolj, Anul 2017, Numar, 127452
Meri, Total, Dolj, Anul 2018, Numar, 141560
Meri, Total, Dolj, Anul 2019, Numar, 120376
Meri, Total, Dolj, Anul 2020, Numar, 369952
Meri, Total, Dolj, Anul 2021, Numar, 188683
Meri, Total, Dolj, Anul 2022, Numar, 69990
Meri, Total, Dolj, Anul 2023, Numar, 103125
Meri, Total, Dolj, Anul 2024, Numar, 104005
Meri, Total, Gorj, Anul 2000, Numar, 1122643
Meri, Total, Gorj, Anul 2001, Numar, 921954
Meri, Total, Gorj, Anul 2002, Numar, 791019
Meri, Total, Gorj, Anul 2003, Numar, 589865
Meri, Total, Gorj, Anul 2004, Numar, 559850
Meri, Total, Gorj, Anul 2005, Numar, 558211
Meri, Total, Gorj, Anul 2006, Numar, 439901
Meri, Total, Gorj, Anul 2007, Numar, 398316
Meri, Total, Gorj, Anul 2008, Numar, 377450
Meri, Total, Gorj, Anul 2009, Numar, 379833
Meri, Total, Gorj, Anul 2010, Numar, 361256
Meri, Total, Gorj, Anul 2011, Numar, 364930
Meri, Total, Gorj, Anul 2012, Numar, 379535
Meri, Total, Gorj, Anul 2013, Numar, 365957
Meri, Total, Gorj, Anul 2014, Numar, 347861
Meri, Total, Gorj, Anul 2015, Numar, 373905
Meri, Total, Gorj, Anul 2016, Numar, 367165
Meri, Total, Gorj, Anul 2017, Numar, 372057
Meri, Total, Gorj, Anul 2018, Numar, 374341
Meri, Total, Gorj, Anul 2019, Numar, 371531
Meri, Total, Gorj, Anul 2020, Numar, 370845
Meri, Total, Gorj, Anul 2021, Numar, 379381
Meri, Total, Gorj, Anul 2022, Numar, 374351
Meri, Total, Gorj, Anul 2023, Numar, 366831
Meri, Total, Gorj, Anul 2024, Numar, 364183
Meri, Total, Mehedinti, Anul 2000, Numar, 1358824
Meri, Total, Mehedinti, Anul 2001, Numar, 1153576
Meri, Total, Mehedinti, Anul 2002, Numar, 1152028
Meri, Total, Mehedinti, Anul 2003, Numar, 1090590
Meri, Total, Mehedinti, Anul 2004, Numar, 1149975
Meri, Total, Mehedinti, Anul 2005, Numar, 1004773
Meri, Total, Mehedinti, Anul 2006, Numar, 723085
Meri, Total, Mehedinti, Anul 2007, Numar, 368195
Meri, Total, Mehedinti, Anul 2008, Numar, 467304
Meri, Total, Mehedinti, Anul 2009, Numar, 661191
Meri, Total, Mehedinti, Anul 2010, Numar, 702328
Meri, Total, Mehedinti, Anul 2011, Numar, 562103
Meri, Total, Mehedinti, Anul 2012, Numar, 568598
Meri, Total, Mehedinti, Anul 2013, Numar, 563190
Meri, Total, Mehedinti, Anul 2014, Numar, 558262
Meri, Total, Mehedinti, Anul 2015, Numar, 567039
Meri, Total, Mehedinti, Anul 2016, Numar, 530030
Meri, Total, Mehedinti, Anul 2017, Numar, 530163
Meri, Total, Mehedinti, Anul 2018, Numar, 539602
Meri, Total, Mehedinti, Anul 2019, Numar, 518753
Meri, Total, Mehedinti, Anul 2020, Numar, 532180
Meri, Total, Mehedinti, Anul 2021, Numar, 525422
Meri, Total, Mehedinti, Anul 2022, Numar, 538395
Meri, Total, Mehedinti, Anul 2023, Numar, 530837
Meri, Total, Mehedinti, Anul 2024, Numar, 542829
Meri, Total, Olt, Anul 2000, Numar, 738312
Meri, Total, Olt, Anul 2001, Numar, 491144
Meri, Total, Olt, Anul 2002, Numar, 499497
Meri, Total, Olt, Anul 2003, Numar, 562982
Meri, Total, Olt, Anul 2004, Numar, 275867
Meri, Total, Olt, Anul 2005, Numar, 332783
Meri, Total, Olt, Anul 2006, Numar, 191010
Meri, Total, Olt, Anul 2007, Numar, 249366
Meri, Total, Olt, Anul 2008, Numar, 246823
Meri, Total, Olt, Anul 2009, Numar, 243192
Meri, Total, Olt, Anul 2010, Numar, 254571
Meri, Total, Olt, Anul 2011, Numar, 239206
Meri, Total, Olt, Anul 2012, Numar, 255912
Meri, Total, Olt, Anul 2013, Numar, 256090
Meri, Total, Olt, Anul 2014, Numar, 355794
Meri, Total, Olt, Anul 2015, Numar, 431588
Meri, Total, Olt, Anul 2016, Numar, 424213
Meri, Total, Olt, Anul 2017, Numar, 414844
Meri, Total, Olt, Anul 2018, Numar, 383244
Meri, Total, Olt, Anul 2019, Numar, 362907
Meri, Total, Olt, Anul 2020, Numar, 379628
Meri, Total, Olt, Anul 2021, Numar, 328186
Meri, Total, Olt, Anul 2022, Numar, 319373
Meri, Total, Olt, Anul 2023, Numar, 323411
Meri, Total, Olt, Anul 2024, Numar, 412055
Meri, Total, Valcea, Anul 2000, Numar, 903581
Meri, Total, Valcea, Anul 2001, Numar, 1137222
Meri, Total, Valcea, Anul 2002, Numar, 1097688
Meri, Total, Valcea, Anul 2003, Numar, 1117431
Meri, Total, Valcea, Anul 2004, Numar, 1007756
Meri, Total, Valcea, Anul 2005, Numar, 1172104
Meri, Total, Valcea, Anul 2006, Numar, 873657
Meri, Total, Valcea, Anul 2007, Numar, 862334
Meri, Total, Valcea, Anul 2008, Numar, 852379
Meri, Total, Valcea, Anul 2009, Numar, 958880
