Categorii de fructe, Forme de proprietate, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Tone, Valoare
Prune, Total, Satu Mare, Anul 2009, Tone, 15380
Prune, Total, Satu Mare, Anul 2010, Tone, 15678
Prune, Total, Satu Mare, Anul 2011, Tone, 14544
Prune, Total, Satu Mare, Anul 2012, Tone, 13103
Prune, Total, Satu Mare, Anul 2013, Tone, 18049
Prune, Total, Satu Mare, Anul 2014, Tone, 17987
Prune, Total, Satu Mare, Anul 2015, Tone, 18784
Prune, Total, Satu Mare, Anul 2016, Tone, 17555
Prune, Total, Satu Mare, Anul 2017, Tone, 19535
Prune, Total, Satu Mare, Anul 2018, Tone, 32226
Prune, Total, Satu Mare, Anul 2019, Tone, 29064
Prune, Total, Satu Mare, Anul 2020, Tone, 29633
Prune, Total, Satu Mare, Anul 2021, Tone, 31393
Prune, Total, Satu Mare, Anul 2022, Tone, 26273
Prune, Total, Satu Mare, Anul 2023, Tone, 27043
Prune, Total, Satu Mare, Anul 2024, Tone, 25337
Prune, Total, Salaj, Anul 2000, Tone, 26606
Prune, Total, Salaj, Anul 2001, Tone, 18686
Prune, Total, Salaj, Anul 2002, Tone, 6592
Prune, Total, Salaj, Anul 2003, Tone, 51709
Prune, Total, Salaj, Anul 2004, Tone, 10195
Prune, Total, Salaj, Anul 2005, Tone, 10115
Prune, Total, Salaj, Anul 2006, Tone, 27131
Prune, Total, Salaj, Anul 2007, Tone, 2175
Prune, Total, Salaj, Anul 2008, Tone, 24681
Prune, Total, Salaj, Anul 2009, Tone, 25166
Prune, Total, Salaj, Anul 2010, Tone, 21611
Prune, Total, Salaj, Anul 2011, Tone, 20098
Prune, Total, Salaj, Anul 2012, Tone, 14711
Prune, Total, Salaj, Anul 2013, Tone, 22452
Prune, Total, Salaj, Anul 2014, Tone, 18108
Prune, Total, Salaj, Anul 2015, Tone, 18929
Prune, Total, Salaj, Anul 2016, Tone, 18509
Prune, Total, Salaj, Anul 2017, Tone, 18029
Prune, Total, Salaj, Anul 2018, Tone, 47801
Prune, Total, Salaj, Anul 2019, Tone, 44547
Prune, Total, Salaj, Anul 2020, Tone, 45505
Prune, Total, Salaj, Anul 2021, Tone, 46938
Prune, Total, Salaj, Anul 2022, Tone, 37524
Prune, Total, Salaj, Anul 2023, Tone, 37386
Prune, Total, Salaj, Anul 2024, Tone, 36065
Prune, Total, Alba, Anul 2000, Tone, 7688
Prune, Total, Alba, Anul 2001, Tone, 9157
Prune, Total, Alba, Anul 2002, Tone, 4300
Prune, Total, Alba, Anul 2003, Tone, 13369
Prune, Total, Alba, Anul 2004, Tone, 9466
Prune, Total, Alba, Anul 2005, Tone, 10717
Prune, Total, Alba, Anul 2006, Tone, 12854
Prune, Total, Alba, Anul 2007, Tone, 4668
Prune, Total, Alba, Anul 2008, Tone, 4859
Prune, Total, Alba, Anul 2009, Tone, 7762
Prune, Total, Alba, Anul 2010, Tone, 7714
Prune, Total, Alba, Anul 2011, Tone, 7223
Prune, Total, Alba, Anul 2012, Tone, 4881
Prune, Total, Alba, Anul 2013, Tone, 6413
Prune, Total, Alba, Anul 2014, Tone, 5655
Prune, Total, Alba, Anul 2015, Tone, 5623
Prune, Total, Alba, Anul 2016, Tone, 5479
Prune, Total, Alba, Anul 2017, Tone, 6207
Prune, Total, Alba, Anul 2018, Tone, 14390
Prune, Total, Alba, Anul 2019, Tone, 13100
Prune, Total, Alba, Anul 2020, Tone, 12460
Prune, Total, Alba, Anul 2021, Tone, 13135
Prune, Total, Alba, Anul 2022, Tone, 11929
Prune, Total, Alba, Anul 2023, Tone, 11646
Prune, Total, Alba, Anul 2024, Tone, 10748
Prune, Total, Brasov, Anul 2000, Tone, 1046
Prune, Total, Brasov, Anul 2001, Tone, 834
Prune, Total, Brasov, Anul 2002, Tone, 1216
Prune, Total, Brasov, Anul 2003, Tone, 1644
Prune, Total, Brasov, Anul 2004, Tone, 1131
Prune, Total, Brasov, Anul 2005, Tone, 1567
Prune, Total, Brasov, Anul 2006, Tone, 1957
Prune, Total, Brasov, Anul 2007, Tone, 956
Prune, Total, Brasov, Anul 2008, Tone, 1571
Prune, Total, Brasov, Anul 2009, Tone, 2679
Prune, Total, Brasov, Anul 2010, Tone, 2249
Prune, Total, Brasov, Anul 2011, Tone, 2789
Prune, Total, Brasov, Anul 2012, Tone, 1442
Prune, Total, Brasov, Anul 2013, Tone, 1751
Prune, Total, Brasov, Anul 2014, Tone, 2579
Prune, Total, Brasov, Anul 2015, Tone, 2418
Prune, Total, Brasov, Anul 2016, Tone, 2210
Prune, Total, Brasov, Anul 2017, Tone, 1975
Prune, Total, Brasov, Anul 2018, Tone, 4831
Prune, Total, Brasov, Anul 2019, Tone, 4148
Prune, Total, Brasov, Anul 2020, Tone, 3661
Prune, Total, Brasov, Anul 2021, Tone, 3921
Prune, Total, Brasov, Anul 2022, Tone, 3167
Prune, Total, Brasov, Anul 2023, Tone, 3304
Prune, Total, Brasov, Anul 2024, Tone, 3007
Prune, Total, Covasna, Anul 2000, Tone, 1412
Prune, Total, Covasna, Anul 2001, Tone, 1642
Prune, Total, Covasna, Anul 2002, Tone, 585
Prune, Total, Covasna, Anul 2003, Tone, 1377
Prune, Total, Covasna, Anul 2004, Tone, 31
Prune, Total, Covasna, Anul 2005, Tone, 727
Prune, Total, Covasna, Anul 2006, Tone, 1687
Prune, Total, Covasna, Anul 2007, Tone, 671
Prune, Total, Covasna, Anul 2008, Tone, 8394
Prune, Total, Covasna, Anul 2009, Tone, 11328
Prune, Total, Covasna, Anul 2010, Tone, 9541
Prune, Total, Covasna, Anul 2011, Tone, 2102
Prune, Total, Covasna, Anul 2012, Tone, 1041
Prune, Total, Covasna, Anul 2013, Tone, 1943
Prune, Total, Covasna, Anul 2014, Tone, 2542
Prune, Total, Covasna, Anul 2015, Tone, 2282
Prune, Total, Covasna, Anul 2016, Tone, 2357
Prune, Total, Covasna, Anul 2017, Tone, 2477
Prune, Total, Covasna, Anul 2018, Tone, 5076
Prune, Total, Covasna, Anul 2019, Tone, 4252
Prune, Total, Covasna, Anul 2020, Tone, 3959
Prune, Total, Covasna, Anul 2021, Tone, 3981
Prune, Total, Covasna, Anul 2022, Tone, 3433
Prune, Total, Covasna, Anul 2023, Tone, 3418
Prune, Total, Covasna, Anul 2024, Tone, 3262
Prune, Total, Harghita, Anul 2000, Tone, 3015
Prune, Total, Harghita, Anul 2001, Tone, 3705
Prune, Total, Harghita, Anul 2002, Tone, 1199
Prune, Total, Harghita, Anul 2003, Tone, 1138
Prune, Total, Harghita, Anul 2004, Tone, 1061
Prune, Total, Harghita, Anul 2005, Tone, 1905
Prune, Total, Harghita, Anul 2006, Tone, 2733
Prune, Total, Harghita, Anul 2007, Tone, 1088
Prune, Total, Harghita, Anul 2008, Tone, 3148
Prune, Total, Harghita, Anul 2009, Tone, 3339
Prune, Total, Harghita, Anul 2010, Tone, 2607
Prune, Total, Harghita, Anul 2011, Tone, 2002
Prune, Total, Harghita, Anul 2012, Tone, 1234
Prune, Total, Harghita, Anul 2013, Tone, 1738
Prune, Total, Harghita, Anul 2014, Tone, 2113
Prune, Total, Harghita, Anul 2015, Tone, 1646
Prune, Total, Harghita, Anul 2016, Tone, 1558
Prune, Total, Harghita, Anul 2017, Tone, 1436
Prune, Total, Harghita, Anul 2018, Tone, 3492
