Categorii de fructe, Forme de proprietate, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Kg/ pom, Valoare
Mere, Total, Ialomita, Anul 2009, Kilograme, 8
Mere, Total, Ialomita, Anul 2010, Kilograme, 13
Mere, Total, Ialomita, Anul 2011, Kilograme, 18
Mere, Total, Ialomita, Anul 2012, Kilograme, 20
Mere, Total, Ialomita, Anul 2013, Kilograme, 19
Mere, Total, Ialomita, Anul 2014, Kilograme, 21
Mere, Total, Ialomita, Anul 2015, Kilograme, 18
Mere, Total, Ialomita, Anul 2016, Kilograme, 20
Mere, Total, Ialomita, Anul 2017, Kilograme, 21
Mere, Total, Ialomita, Anul 2018, Kilograme, 29
Mere, Total, Ialomita, Anul 2019, Kilograme, 13
Mere, Total, Ialomita, Anul 2020, Kilograme, 12
Mere, Total, Ialomita, Anul 2021, Kilograme, 10
Mere, Total, Ialomita, Anul 2022, Kilograme, 10
Mere, Total, Ialomita, Anul 2023, Kilograme, 27
Mere, Total, Ialomita, Anul 2024, Kilograme, 14
Mere, Total, Prahova, Anul 2000, Kilograme, 8
Mere, Total, Prahova, Anul 2001, Kilograme, 13
Mere, Total, Prahova, Anul 2002, Kilograme, 6
Mere, Total, Prahova, Anul 2003, Kilograme, 27
Mere, Total, Prahova, Anul 2004, Kilograme, 15
Mere, Total, Prahova, Anul 2005, Kilograme, 14
Mere, Total, Prahova, Anul 2006, Kilograme, 17
Mere, Total, Prahova, Anul 2007, Kilograme, 20
Mere, Total, Prahova, Anul 2008, Kilograme, 9
Mere, Total, Prahova, Anul 2009, Kilograme, 9
Mere, Total, Prahova, Anul 2010, Kilograme, 13
Mere, Total, Prahova, Anul 2011, Kilograme, 18
Mere, Total, Prahova, Anul 2012, Kilograme, 15
Mere, Total, Prahova, Anul 2013, Kilograme, 16
Mere, Total, Prahova, Anul 2014, Kilograme, 16
Mere, Total, Prahova, Anul 2015, Kilograme, 17
Mere, Total, Prahova, Anul 2016, Kilograme, 13
Mere, Total, Prahova, Anul 2017, Kilograme, 9
Mere, Total, Prahova, Anul 2018, Kilograme, 35
Mere, Total, Prahova, Anul 2019, Kilograme, 24
Mere, Total, Prahova, Anul 2020, Kilograme, 23
Mere, Total, Prahova, Anul 2021, Kilograme, 26
Mere, Total, Prahova, Anul 2022, Kilograme, 30
Mere, Total, Prahova, Anul 2023, Kilograme, 29
Mere, Total, Prahova, Anul 2024, Kilograme, 17
Mere, Total, Teleorman, Anul 2000, Kilograme, 13
Mere, Total, Teleorman, Anul 2001, Kilograme, 16
Mere, Total, Teleorman, Anul 2002, Kilograme, 10
Mere, Total, Teleorman, Anul 2003, Kilograme, 12
Mere, Total, Teleorman, Anul 2004, Kilograme, 16
Mere, Total, Teleorman, Anul 2005, Kilograme, 11
Mere, Total, Teleorman, Anul 2006, Kilograme, 12
Mere, Total, Teleorman, Anul 2007, Kilograme, 11
Mere, Total, Teleorman, Anul 2008, Kilograme, 12
Mere, Total, Teleorman, Anul 2009, Kilograme, 13
Mere, Total, Teleorman, Anul 2010, Kilograme, 15
Mere, Total, Teleorman, Anul 2011, Kilograme, 24
Mere, Total, Teleorman, Anul 2012, Kilograme, 13
Mere, Total, Teleorman, Anul 2013, Kilograme, 18
Mere, Total, Teleorman, Anul 2014, Kilograme, 21
Mere, Total, Teleorman, Anul 2015, Kilograme, 9
Mere, Total, Teleorman, Anul 2016, Kilograme, 19
Mere, Total, Teleorman, Anul 2017, Kilograme, 19
Mere, Total, Teleorman, Anul 2018, Kilograme, 34
Mere, Total, Teleorman, Anul 2019, Kilograme, 30
Mere, Total, Teleorman, Anul 2020, Kilograme, 27
Mere, Total, Teleorman, Anul 2021, Kilograme, 26
Mere, Total, Teleorman, Anul 2022, Kilograme, 25
Mere, Total, Teleorman, Anul 2023, Kilograme, 23
Mere, Total, Teleorman, Anul 2024, Kilograme, 22
Mere, Total, Ilfov, Anul 2000, Kilograme, 8
Mere, Total, Ilfov, Anul 2001, Kilograme, 6
Mere, Total, Ilfov, Anul 2002, Kilograme, 6
Mere, Total, Ilfov, Anul 2003, Kilograme, 25
Mere, Total, Ilfov, Anul 2004, Kilograme, 52
Mere, Total, Ilfov, Anul 2005, Kilograme, 13
Mere, Total, Ilfov, Anul 2006, Kilograme, 14
Mere, Total, Ilfov, Anul 2007, Kilograme, 16
Mere, Total, Ilfov, Anul 2008, Kilograme, 25
Mere, Total, Ilfov, Anul 2009, Kilograme, 25
Mere, Total, Ilfov, Anul 2010, Kilograme, 9
Mere, Total, Ilfov, Anul 2011, Kilograme, 22
Mere, Total, Ilfov, Anul 2012, Kilograme, 13
Mere, Total, Ilfov, Anul 2013, Kilograme, 9
Mere, Total, Ilfov, Anul 2014, Kilograme, 10
Mere, Total, Ilfov, Anul 2015, Kilograme, 8
Mere, Total, Ilfov, Anul 2016, Kilograme, 7
Mere, Total, Ilfov, Anul 2017, Kilograme, 7
Mere, Total, Ilfov, Anul 2018, Kilograme, 10
Mere, Total, Ilfov, Anul 2019, Kilograme, 6
Mere, Total, Ilfov, Anul 2020, Kilograme, 7
Mere, Total, Ilfov, Anul 2021, Kilograme, 8
Mere, Total, Ilfov, Anul 2022, Kilograme, 5
Mere, Total, Ilfov, Anul 2023, Kilograme, 5
Mere, Total, Ilfov, Anul 2024, Kilograme, 6
Mere, Total, Municipiul Bucuresti, Anul 2000, Kilograme, 3
Mere, Total, Municipiul Bucuresti, Anul 2001, Kilograme, 18
Mere, Total, Municipiul Bucuresti, Anul 2002, Kilograme, 3
Mere, Total, Municipiul Bucuresti, Anul 2003, Kilograme, 3
Mere, Total, Municipiul Bucuresti, Anul 2004, Kilograme, 1
Mere, Total, Municipiul Bucuresti, Anul 2005, Kilograme, 10
Mere, Total, Municipiul Bucuresti, Anul 2006, Kilograme, 13
Mere, Total, Municipiul Bucuresti, Anul 2007, Kilograme, 4
Mere, Total, Municipiul Bucuresti, Anul 2008, Kilograme, 5
Mere, Total, Municipiul Bucuresti, Anul 2009, Kilograme, 12
Mere, Total, Municipiul Bucuresti, Anul 2010, Kilograme, 8
Mere, Total, Municipiul Bucuresti, Anul 2011, Kilograme, 4
Mere, Total, Municipiul Bucuresti, Anul 2012, Kilograme, 18
Mere, Total, Municipiul Bucuresti, Anul 2013, Kilograme, 16
Mere, Total, Municipiul Bucuresti, Anul 2014, Kilograme, 17
Mere, Total, Municipiul Bucuresti, Anul 2015, Kilograme, 17
Mere, Total, Municipiul Bucuresti, Anul 2016, Kilograme, 17
Mere, Total, Municipiul Bucuresti, Anul 2021, Kilograme, 2
Mere, Total, Municipiul Bucuresti, Anul 2022, Kilograme, 5
Mere, Total, Municipiul Bucuresti, Anul 2023, Kilograme, 1
Mere, Total, Municipiul Bucuresti, Anul 2024, Kilograme, 2
Mere, Total, Dolj, Anul 2000, Kilograme, 3
Mere, Total, Dolj, Anul 2001, Kilograme, 21
Mere, Total, Dolj, Anul 2002, Kilograme, 1
Mere, Total, Dolj, Anul 2003, Kilograme, 4
Mere, Total, Dolj, Anul 2004, Kilograme, 3
Mere, Total, Dolj, Anul 2005, Kilograme, 23
Mere, Total, Dolj, Anul 2006, Kilograme, 11
Mere, Total, Dolj, Anul 2007, Kilograme, 26
Mere, Total, Dolj, Anul 2008, Kilograme, 21
Mere, Total, Dolj, Anul 2009, Kilograme, 19
Mere, Total, Dolj, Anul 2010, Kilograme, 14
Mere, Total, Dolj, Anul 2011, Kilograme, 15
Mere, Total, Dolj, Anul 2012, Kilograme, 12
Mere, Total, Dolj, Anul 2013, Kilograme, 11
Mere, Total, Dolj, Anul 2014, Kilograme, 16
Mere, Total, Dolj, Anul 2015, Kilograme, 14
Mere, Total, Dolj, Anul 2016, Kilograme, 14
Mere, Total, Dolj, Anul 2017, Kilograme, 12
Mere, Total, Dolj, Anul 2018, Kilograme, 12
Mere, Total, Dolj, Anul 2019, Kilograme, 13
Mere, Total, Dolj, Anul 2020, Kilograme, 6
Mere, Total, Dolj, Anul 2021, Kilograme, 11
Mere, Total, Dolj, Anul 2022, Kilograme, 18
Mere, Total, Dolj, Anul 2023, Kilograme, 12
Mere, Total, Dolj, Anul 2024, Kilograme, 10
Mere, Total, Gorj, Anul 2000, Kilograme, 4
Mere, Total, Gorj, Anul 2001, Kilograme, 5
Mere, Total, Gorj, Anul 2002, Kilograme, 2
Mere, Total, Gorj, Anul 2003, Kilograme, 15
Mere, Total, Gorj, Anul 2004, Kilograme, 25
Mere, Total, Gorj, Anul 2005, Kilograme, 5
Mere, Total, Gorj, Anul 2006, Kilograme, 13
Mere, Total, Gorj, Anul 2007, Kilograme, 14
Mere, Total, Gorj, Anul 2008, Kilograme, 13
Mere, Total, Gorj, Anul 2009, Kilograme, 12
Mere, Total, Gorj, Anul 2010, Kilograme, 11
Mere, Total, Gorj, Anul 2011, Kilograme, 22
Mere, Total, Gorj, Anul 2012, Kilograme, 10
Mere, Total, Gorj, Anul 2013, Kilograme, 18
Mere, Total, Gorj, Anul 2014, Kilograme, 18
Mere, Total, Gorj, Anul 2015, Kilograme, 18
Mere, Total, Gorj, Anul 2016, Kilograme, 18
Mere, Total, Gorj, Anul 2017, Kilograme, 10
Mere, Total, Gorj, Anul 2018, Kilograme, 23
Mere, Total, Gorj, Anul 2019, Kilograme, 24
Mere, Total, Gorj, Anul 2020, Kilograme, 23
Mere, Total, Gorj, Anul 2021, Kilograme, 22
Mere, Total, Gorj, Anul 2022, Kilograme, 19
Mere, Total, Gorj, Anul 2023, Kilograme, 19
Mere, Total, Gorj, Anul 2024, Kilograme, 17
Mere, Total, Mehedinti, Anul 2000, Kilograme, 2
Mere, Total, Mehedinti, Anul 2001, Kilograme, 7
Mere, Total, Mehedinti, Anul 2002, Kilograme, 2
Mere, Total, Mehedinti, Anul 2003, Kilograme, 24
Mere, Total, Mehedinti, Anul 2004, Kilograme, 16
Mere, Total, Mehedinti, Anul 2005, Kilograme, 4
Mere, Total, Mehedinti, Anul 2006, Kilograme, 12
Mere, Total, Mehedinti, Anul 2007, Kilograme, 6
Mere, Total, Mehedinti, Anul 2008, Kilograme, 5
Mere, Total, Mehedinti, Anul 2009, Kilograme, 16
Mere, Total, Mehedinti, Anul 2010, Kilograme, 14
Mere, Total, Mehedinti, Anul 2011, Kilograme, 20
Mere, Total, Mehedinti, Anul 2012, Kilograme, 14
Mere, Total, Mehedinti, Anul 2013, Kilograme, 20
Mere, Total, Mehedinti, Anul 2014, Kilograme, 15
Mere, Total, Mehedinti, Anul 2015, Kilograme, 16
Mere, Total, Mehedinti, Anul 2016, Kilograme, 26
Mere, Total, Mehedinti, Anul 2017, Kilograme, 27
Mere, Total, Mehedinti, Anul 2018, Kilograme, 30
Mere, Total, Mehedinti, Anul 2019, Kilograme, 30
Mere, Total, Mehedinti, Anul 2020, Kilograme, 42
Mere, Total, Mehedinti, Anul 2021, Kilograme, 44
Mere, Total, Mehedinti, Anul 2022, Kilograme, 28
Mere, Total, Mehedinti, Anul 2023, Kilograme, 24
Mere, Total, Mehedinti, Anul 2024, Kilograme, 21
Mere, Total, Olt, Anul 2000, Kilograme, 3
Mere, Total, Olt, Anul 2001, Kilograme, 14
Mere, Total, Olt, Anul 2002, Kilograme, 3
Mere, Total, Olt, Anul 2003, Kilograme, 9
Mere, Total, Olt, Anul 2004, Kilograme, 43
Mere, Total, Olt, Anul 2005, Kilograme, 6
Mere, Total, Olt, Anul 2006, Kilograme, 19
Mere, Total, Olt, Anul 2007, Kilograme, 13
Mere, Total, Olt, Anul 2008, Kilograme, 13
Mere, Total, Olt, Anul 2009, Kilograme, 13
Mere, Total, Olt, Anul 2010, Kilograme, 15
Mere, Total, Olt, Anul 2011, Kilograme, 30
Mere, Total, Olt, Anul 2012, Kilograme, 12
Mere, Total, Olt, Anul 2013, Kilograme, 17
Mere, Total, Olt, Anul 2014, Kilograme, 14
Mere, Total, Olt, Anul 2015, Kilograme, 13
Mere, Total, Olt, Anul 2016, Kilograme, 14
Mere, Total, Olt, Anul 2017, Kilograme, 10
Mere, Total, Olt, Anul 2018, Kilograme, 17
Mere, Total, Olt, Anul 2019, Kilograme, 15
Mere, Total, Olt, Anul 2020, Kilograme, 14
Mere, Total, Olt, Anul 2021, Kilograme, 18
Mere, Total, Olt, Anul 2022, Kilograme, 15
Mere, Total, Olt, Anul 2023, Kilograme, 15
Mere, Total, Olt, Anul 2024, Kilograme, 11
Mere, Total, Valcea, Anul 2000, Kilograme, 21
Mere, Total, Valcea, Anul 2001, Kilograme, 21
Mere, Total, Valcea, Anul 2002, Kilograme, 9
Mere, Total, Valcea, Anul 2003, Kilograme, 36
Mere, Total, Valcea, Anul 2004, Kilograme, 36
Mere, Total, Valcea, Anul 2005, Kilograme, 15
Mere, Total, Valcea, Anul 2006, Kilograme, 20
Mere, Total, Valcea, Anul 2007, Kilograme, 31
Mere, Total, Valcea, Anul 2008, Kilograme, 19
Mere, Total, Valcea, Anul 2009, Kilograme, 26
Mere, Total, Valcea, Anul 2010, Kilograme, 35
Mere, Total, Valcea, Anul 2011, Kilograme, 37
Mere, Total, Valcea, Anul 2012, Kilograme, 26
Mere, Total, Valcea, Anul 2013, Kilograme, 26
Mere, Total, Valcea, Anul 2014, Kilograme, 15
Mere, Total, Valcea, Anul 2015, Kilograme, 21
Mere, Total, Valcea, Anul 2016, Kilograme, 22
Mere, Total, Valcea, Anul 2017, Kilograme, 21
Mere, Total, Valcea, Anul 2018, Kilograme, 50
Mere, Total, Valcea, Anul 2019, Kilograme, 37
Mere, Total, Valcea, Anul 2020, Kilograme, 37
Mere, Total, Valcea, Anul 2021, Kilograme, 36
Mere, Total, Valcea, Anul 2022, Kilograme, 29
Mere, Total, Valcea, Anul 2023, Kilograme, 25
Mere, Total, Valcea, Anul 2024, Kilograme, 25
Mere, Total, Arad, Anul 2000, Kilograme, 7
Mere, Total, Arad, Anul 2001, Kilograme, 8
Mere, Total, Arad, Anul 2002, Kilograme, 11
Mere, Total, Arad, Anul 2003, Kilograme, 20
Mere, Total, Arad, Anul 2004, Kilograme, 37
Mere, Total, Arad, Anul 2005, Kilograme, 11
Mere, Total, Arad, Anul 2006, Kilograme, 15
Mere, Total, Arad, Anul 2007, Kilograme, 36
Mere, Total, Arad, Anul 2008, Kilograme, 30
Mere, Total, Arad, Anul 2009, Kilograme, 28
Mere, Total, Arad, Anul 2010, Kilograme, 11
Mere, Total, Arad, Anul 2011, Kilograme, 12
Mere, Total, Arad, Anul 2012, Kilograme, 13
Mere, Total, Arad, Anul 2013, Kilograme, 13
Mere, Total, Arad, Anul 2014, Kilograme, 19
Mere, Total, Arad, Anul 2015, Kilograme, 13
Mere, Total, Arad, Anul 2016, Kilograme, 15
Mere, Total, Arad, Anul 2017, Kilograme, 9
Mere, Total, Arad, Anul 2018, Kilograme, 16
Mere, Total, Arad, Anul 2019, Kilograme, 15
Mere, Total, Arad, Anul 2020, Kilograme, 18
Mere, Total, Arad, Anul 2021, Kilograme, 17
Mere, Total, Arad, Anul 2022, Kilograme, 25
Mere, Total, Arad, Anul 2023, Kilograme, 14
Mere, Total, Arad, Anul 2024, Kilograme, 11
Mere, Total, Caras-Severin, Anul 2000, Kilograme, 12
Mere, Total, Caras-Severin, Anul 2001, Kilograme, 21
Mere, Total, Caras-Severin, Anul 2002, Kilograme, 7
Mere, Total, Caras-Severin, Anul 2003, Kilograme, 29
Mere, Total, Caras-Severin, Anul 2004, Kilograme, 16
Mere, Total, Caras-Severin, Anul 2005, Kilograme, 16
Mere, Total, Caras-Severin, Anul 2006, Kilograme, 14
Mere, Total, Caras-Severin, Anul 2007, Kilograme, 14
Mere, Total, Caras-Severin, Anul 2008, Kilograme, 12
Mere, Total, Caras-Severin, Anul 2009, Kilograme, 10
Mere, Total, Caras-Severin, Anul 2010, Kilograme, 9
Mere, Total, Caras-Severin, Anul 2011, Kilograme, 10
Mere, Total, Caras-Severin, Anul 2012, Kilograme, 8
Mere, Total, Caras-Severin, Anul 2013, Kilograme, 9
Mere, Total, Caras-Severin, Anul 2014, Kilograme, 9
Mere, Total, Caras-Severin, Anul 2015, Kilograme, 9
Mere, Total, Caras-Severin, Anul 2016, Kilograme, 8
Mere, Total, Caras-Severin, Anul 2017, Kilograme, 9
Mere, Total, Caras-Severin, Anul 2018, Kilograme, 20
Mere, Total, Caras-Severin, Anul 2019, Kilograme, 17
Mere, Total, Caras-Severin, Anul 2020, Kilograme, 16
Mere, Total, Caras-Severin, Anul 2021, Kilograme, 17
Mere, Total, Caras-Severin, Anul 2022, Kilograme, 14
Mere, Total, Caras-Severin, Anul 2023, Kilograme, 13
Mere, Total, Caras-Severin, Anul 2024, Kilograme, 13
Mere, Total, Hunedoara, Anul 2000, Kilograme, 15
Mere, Total, Hunedoara, Anul 2001, Kilograme, 10
Mere, Total, Hunedoara, Anul 2002, Kilograme, 9
Mere, Total, Hunedoara, Anul 2003, Kilograme, 20
Mere, Total, Hunedoara, Anul 2004, Kilograme, 54
Mere, Total, Hunedoara, Anul 2005, Kilograme, 11
Mere, Total, Hunedoara, Anul 2006, Kilograme, 16
Mere, Total, Hunedoara, Anul 2007, Kilograme, 11
Mere, Total, Hunedoara, Anul 2008, Kilograme, 13
Mere, Total, Hunedoara, Anul 2009, Kilograme, 12
Mere, Total, Hunedoara, Anul 2010, Kilograme, 8
Mere, Total, Hunedoara, Anul 2011, Kilograme, 24
Mere, Total, Hunedoara, Anul 2012, Kilograme, 15
Mere, Total, Hunedoara, Anul 2013, Kilograme, 18
Mere, Total, Hunedoara, Anul 2014, Kilograme, 16
Mere, Total, Hunedoara, Anul 2015, Kilograme, 18
Mere, Total, Hunedoara, Anul 2016, Kilograme, 15
Mere, Total, Hunedoara, Anul 2017, Kilograme, 15
Mere, Total, Hunedoara, Anul 2018, Kilograme, 31
Mere, Total, Hunedoara, Anul 2019, Kilograme, 22
Mere, Total, Hunedoara, Anul 2020, Kilograme, 20
Mere, Total, Hunedoara, Anul 2021, Kilograme, 21
Mere, Total, Hunedoara, Anul 2022, Kilograme, 19
Mere, Total, Hunedoara, Anul 2023, Kilograme, 18
Mere, Total, Hunedoara, Anul 2024, Kilograme, 17
Mere, Total, Timis, Anul 2000, Kilograme, 7
Mere, Total, Timis, Anul 2001, Kilograme, 8
Mere, Total, Timis, Anul 2002, Kilograme, 3
Mere, Total, Timis, Anul 2003, Kilograme, 8
Mere, Total, Timis, Anul 2004, Kilograme, 18
Mere, Total, Timis, Anul 2005, Kilograme, 16
Mere, Total, Timis, Anul 2006, Kilograme, 20
Mere, Total, Timis, Anul 2007, Kilograme, 25
Mere, Total, Timis, Anul 2008, Kilograme, 5
Mere, Total, Timis, Anul 2009, Kilograme, 15
Mere, Total, Timis, Anul 2010, Kilograme, 12
Mere, Total, Timis, Anul 2011, Kilograme, 29
Mere, Total, Timis, Anul 2012, Kilograme, 15
Mere, Total, Timis, Anul 2013, Kilograme, 24
Mere, Total, Timis, Anul 2014, Kilograme, 18
Mere, Total, Timis, Anul 2015, Kilograme, 25
Mere, Total, Timis, Anul 2016, Kilograme, 19
Mere, Total, Timis, Anul 2017, Kilograme, 20
Mere, Total, Timis, Anul 2018, Kilograme, 33
Mere, Total, Timis, Anul 2019, Kilograme, 29
Mere, Total, Timis, Anul 2020, Kilograme, 26
Mere, Total, Timis, Anul 2021, Kilograme, 20
Mere, Total, Timis, Anul 2022, Kilograme, 16
Mere, Total, Timis, Anul 2023, Kilograme, 22
Mere, Total, Timis, Anul 2024, Kilograme, 18
Pere, Total, Bihor, Anul 2000, Kilograme, 9
Pere, Total, Bihor, Anul 2001, Kilograme, 9
Pere, Total, Bihor, Anul 2002, Kilograme, 14
Pere, Total, Bihor, Anul 2003, Kilograme, 15
Pere, Total, Bihor, Anul 2004, Kilograme, 30
Pere, Total, Bihor, Anul 2005, Kilograme, 13
Pere, Total, Bihor, Anul 2006, Kilograme, 13
Pere, Total, Bihor, Anul 2007, Kilograme, 8
Pere, Total, Bihor, Anul 2008, Kilograme, 13
Pere, Total, Bihor, Anul 2009, Kilograme, 14
Pere, Total, Bihor, Anul 2010, Kilograme, 25
Pere, Total, Bihor, Anul 2011, Kilograme, 19
Pere, Total, Bihor, Anul 2012, Kilograme, 14
Pere, Total, Bihor, Anul 2013, Kilograme, 17
Pere, Total, Bihor, Anul 2014, Kilograme, 19
Pere, Total, Bihor, Anul 2015, Kilograme, 17
Pere, Total, Bihor, Anul 2016, Kilograme, 18
Pere, Total, Bihor, Anul 2017, Kilograme, 15
Pere, Total, Bihor, Anul 2018, Kilograme, 14
Pere, Total, Bihor, Anul 2019, Kilograme, 12
Pere, Total, Bihor, Anul 2020, Kilograme, 11
Pere, Total, Bihor, Anul 2021, Kilograme, 14
Pere, Total, Bihor, Anul 2022, Kilograme, 10
Pere, Total, Bihor, Anul 2023, Kilograme, 11
Pere, Total, Bihor, Anul 2024, Kilograme, 10
Pere, Total, Bistrita-Nasaud, Anul 2000, Kilograme, 27
Pere, Total, Bistrita-Nasaud, Anul 2001, Kilograme, 10
Pere, Total, Bistrita-Nasaud, Anul 2002, Kilograme, 10
Pere, Total, Bistrita-Nasaud, Anul 2003, Kilograme, 6
Pere, Total, Bistrita-Nasaud, Anul 2004, Kilograme, 11
Pere, Total, Bistrita-Nasaud, Anul 2005, Kilograme, 18
Pere, Total, Bistrita-Nasaud, Anul 2006, Kilograme, 13
Pere, Total, Bistrita-Nasaud, Anul 2007, Kilograme, 2
Pere, Total, Bistrita-Nasaud, Anul 2008, Kilograme, 3
Pere, Total, Bistrita-Nasaud, Anul 2009, Kilograme, 5
Pere, Total, Bistrita-Nasaud, Anul 2010, Kilograme, 4
Pere, Total, Bistrita-Nasaud, Anul 2011, Kilograme, 19
Pere, Total, Bistrita-Nasaud, Anul 2012, Kilograme, 15
Pere, Total, Bistrita-Nasaud, Anul 2013, Kilograme, 19
Pere, Total, Bistrita-Nasaud, Anul 2014, Kilograme, 25
Pere, Total, Bistrita-Nasaud, Anul 2015, Kilograme, 24
Pere, Total, Bistrita-Nasaud, Anul 2016, Kilograme, 24
Pere, Total, Bistrita-Nasaud, Anul 2017, Kilograme, 14
Pere, Total, Bistrita-Nasaud, Anul 2018, Kilograme, 21
Pere, Total, Bistrita-Nasaud, Anul 2019, Kilograme, 10
Pere, Total, Bistrita-Nasaud, Anul 2020, Kilograme, 18
Pere, Total, Bistrita-Nasaud, Anul 2021, Kilograme, 21
Pere, Total, Bistrita-Nasaud, Anul 2022, Kilograme, 20
Pere, Total, Bistrita-Nasaud, Anul 2023, Kilograme, 15
Pere, Total, Bistrita-Nasaud, Anul 2024, Kilograme, 16
Pere, Total, Cluj, Anul 2000, Kilograme, 13
Pere, Total, Cluj, Anul 2001, Kilograme, 14
Pere, Total, Cluj, Anul 2002, Kilograme, 20
Pere, Total, Cluj, Anul 2003, Kilograme, 26
Pere, Total, Cluj, Anul 2004, Kilograme, 4
Pere, Total, Cluj, Anul 2005, Kilograme, 13
Pere, Total, Cluj, Anul 2006, Kilograme, 11
Pere, Total, Cluj, Anul 2007, Kilograme, 10
Pere, Total, Cluj, Anul 2008, Kilograme, 13
Pere, Total, Cluj, Anul 2009, Kilograme, 13
Pere, Total, Cluj, Anul 2010, Kilograme, 11
Pere, Total, Cluj, Anul 2011, Kilograme, 18
Pere, Total, Cluj, Anul 2012, Kilograme, 18
Pere, Total, Cluj, Anul 2013, Kilograme, 22
Pere, Total, Cluj, Anul 2014, Kilograme, 22
Pere, Total, Cluj, Anul 2015, Kilograme, 15
Pere, Total, Cluj, Anul 2016, Kilograme, 18
Pere, Total, Cluj, Anul 2017, Kilograme, 22
Pere, Total, Cluj, Anul 2018, Kilograme, 23
Pere, Total, Cluj, Anul 2019, Kilograme, 19
Pere, Total, Cluj, Anul 2020, Kilograme, 17
Pere, Total, Cluj, Anul 2021, Kilograme, 16
Pere, Total, Cluj, Anul 2022, Kilograme, 14
Pere, Total, Cluj, Anul 2023, Kilograme, 14
Pere, Total, Cluj, Anul 2024, Kilograme, 13
Pere, Total, Maramures, Anul 2000, Kilograme, 17
Pere, Total, Maramures, Anul 2001, Kilograme, 22
Pere, Total, Maramures, Anul 2002, Kilograme, 31
Pere, Total, Maramures, Anul 2003, Kilograme, 30
Pere, Total, Maramures, Anul 2004, Kilograme, 1
Pere, Total, Maramures, Anul 2005, Kilograme, 14
Pere, Total, Maramures, Anul 2006, Kilograme, 13
Pere, Total, Maramures, Anul 2007, Kilograme, 18
Pere, Total, Maramures, Anul 2008, Kilograme, 13
Pere, Total, Maramures, Anul 2009, Kilograme, 14
Pere, Total, Maramures, Anul 2010, Kilograme, 15
Pere, Total, Maramures, Anul 2011, Kilograme, 17
Pere, Total, Maramures, Anul 2012, Kilograme, 11
Pere, Total, Maramures, Anul 2013, Kilograme, 13
Pere, Total, Maramures, Anul 2014, Kilograme, 11
Pere, Total, Maramures, Anul 2015, Kilograme, 4
Pere, Total, Maramures, Anul 2016, Kilograme, 9
Pere, Total, Maramures, Anul 2017, Kilograme, 13
Pere, Total, Maramures, Anul 2018, Kilograme, 15
Pere, Total, Maramures, Anul 2019, Kilograme, 13
Pere, Total, Maramures, Anul 2020, Kilograme, 14
Pere, Total, Maramures, Anul 2021, Kilograme, 13
Pere, Total, Maramures, Anul 2022, Kilograme, 10
Pere, Total, Maramures, Anul 2023, Kilograme, 9
Pere, Total, Maramures, Anul 2024, Kilograme, 9
Pere, Total, Satu Mare, Anul 2000, Kilograme, 12
Pere, Total, Satu Mare, Anul 2001, Kilograme, 18
Pere, Total, Satu Mare, Anul 2002, Kilograme, 12
Pere, Total, Satu Mare, Anul 2003, Kilograme, 14
Pere, Total, Satu Mare, Anul 2004, Kilograme, 9
Pere, Total, Satu Mare, Anul 2005, Kilograme, 19
Pere, Total, Satu Mare, Anul 2006, Kilograme, 16
Pere, Total, Satu Mare, Anul 2007, Kilograme, 9
Pere, Total, Satu Mare, Anul 2008, Kilograme, 9
Pere, Total, Satu Mare, Anul 2009, Kilograme, 13
Pere, Total, Satu Mare, Anul 2010, Kilograme, 14
Pere, Total, Satu Mare, Anul 2011, Kilograme, 16
Pere, Total, Satu Mare, Anul 2012, Kilograme, 11
Pere, Total, Satu Mare, Anul 2013, Kilograme, 13
Pere, Total, Satu Mare, Anul 2014, Kilograme, 13
Pere, Total, Satu Mare, Anul 2015, Kilograme, 9
Pere, Total, Satu Mare, Anul 2016, Kilograme, 12
Pere, Total, Satu Mare, Anul 2017, Kilograme, 14
Pere, Total, Satu Mare, Anul 2018, Kilograme, 15
Pere, Total, Satu Mare, Anul 2019, Kilograme, 13
Pere, Total, Satu Mare, Anul 2020, Kilograme, 12
Pere, Total, Satu Mare, Anul 2021, Kilograme, 10
Pere, Total, Satu Mare, Anul 2022, Kilograme, 9
Pere, Total, Satu Mare, Anul 2023, Kilograme, 9
Pere, Total, Satu Mare, Anul 2024, Kilograme, 9
Pere, Total, Salaj, Anul 2000, Kilograme, 18
Pere, Total, Salaj, Anul 2001, Kilograme, 19
Pere, Total, Salaj, Anul 2002, Kilograme, 15
Pere, Total, Salaj, Anul 2003, Kilograme, 26
Pere, Total, Salaj, Anul 2004, Kilograme, 8
Pere, Total, Salaj, Anul 2005, Kilograme, 3
Pere, Total, Salaj, Anul 2006, Kilograme, 11
Pere, Total, Salaj, Anul 2007, Kilograme, 2
Pere, Total, Salaj, Anul 2008, Kilograme, 3
Pere, Total, Salaj, Anul 2009, Kilograme, 17
Pere, Total, Salaj, Anul 2010, Kilograme, 15
Pere, Total, Salaj, Anul 2011, Kilograme, 15
Pere, Total, Salaj, Anul 2012, Kilograme, 11
Pere, Total, Salaj, Anul 2013, Kilograme, 13
Pere, Total, Salaj, Anul 2014, Kilograme, 19
Pere, Total, Salaj, Anul 2015, Kilograme, 13
