Categorii de fructe, Forme de proprietate, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Kg/ pom, Valoare
Prune, Total, Satu Mare, Anul 2005, Kilograme, 8
Prune, Total, Satu Mare, Anul 2006, Kilograme, 14
Prune, Total, Satu Mare, Anul 2007, Kilograme, 5
Prune, Total, Satu Mare, Anul 2008, Kilograme, 13
Prune, Total, Satu Mare, Anul 2009, Kilograme, 13
Prune, Total, Satu Mare, Anul 2010, Kilograme, 12
Prune, Total, Satu Mare, Anul 2011, Kilograme, 13
Prune, Total, Satu Mare, Anul 2012, Kilograme, 11
Prune, Total, Satu Mare, Anul 2013, Kilograme, 15
Prune, Total, Satu Mare, Anul 2014, Kilograme, 16
Prune, Total, Satu Mare, Anul 2015, Kilograme, 16
Prune, Total, Satu Mare, Anul 2016, Kilograme, 15
Prune, Total, Satu Mare, Anul 2017, Kilograme, 17
Prune, Total, Satu Mare, Anul 2018, Kilograme, 28
Prune, Total, Satu Mare, Anul 2019, Kilograme, 25
Prune, Total, Satu Mare, Anul 2020, Kilograme, 26
Prune, Total, Satu Mare, Anul 2021, Kilograme, 26
Prune, Total, Satu Mare, Anul 2022, Kilograme, 22
Prune, Total, Satu Mare, Anul 2023, Kilograme, 22
Prune, Total, Satu Mare, Anul 2024, Kilograme, 21
Prune, Total, Salaj, Anul 2000, Kilograme, 21
Prune, Total, Salaj, Anul 2001, Kilograme, 13
Prune, Total, Salaj, Anul 2002, Kilograme, 4
Prune, Total, Salaj, Anul 2003, Kilograme, 35
Prune, Total, Salaj, Anul 2004, Kilograme, 7
Prune, Total, Salaj, Anul 2005, Kilograme, 6
Prune, Total, Salaj, Anul 2006, Kilograme, 22
Prune, Total, Salaj, Anul 2007, Kilograme, 1
Prune, Total, Salaj, Anul 2008, Kilograme, 14
Prune, Total, Salaj, Anul 2009, Kilograme, 14
Prune, Total, Salaj, Anul 2010, Kilograme, 13
Prune, Total, Salaj, Anul 2011, Kilograme, 11
Prune, Total, Salaj, Anul 2012, Kilograme, 8
Prune, Total, Salaj, Anul 2013, Kilograme, 12
Prune, Total, Salaj, Anul 2014, Kilograme, 10
Prune, Total, Salaj, Anul 2015, Kilograme, 11
Prune, Total, Salaj, Anul 2016, Kilograme, 11
Prune, Total, Salaj, Anul 2017, Kilograme, 11
Prune, Total, Salaj, Anul 2018, Kilograme, 29
Prune, Total, Salaj, Anul 2019, Kilograme, 27
Prune, Total, Salaj, Anul 2020, Kilograme, 27
Prune, Total, Salaj, Anul 2021, Kilograme, 28
Prune, Total, Salaj, Anul 2022, Kilograme, 22
Prune, Total, Salaj, Anul 2023, Kilograme, 22
Prune, Total, Salaj, Anul 2024, Kilograme, 21
Prune, Total, Alba, Anul 2000, Kilograme, 9
Prune, Total, Alba, Anul 2001, Kilograme, 11
Prune, Total, Alba, Anul 2002, Kilograme, 5
Prune, Total, Alba, Anul 2003, Kilograme, 16
Prune, Total, Alba, Anul 2004, Kilograme, 11
Prune, Total, Alba, Anul 2005, Kilograme, 10
Prune, Total, Alba, Anul 2006, Kilograme, 12
Prune, Total, Alba, Anul 2007, Kilograme, 9
Prune, Total, Alba, Anul 2008, Kilograme, 9
Prune, Total, Alba, Anul 2009, Kilograme, 14
Prune, Total, Alba, Anul 2010, Kilograme, 14
Prune, Total, Alba, Anul 2011, Kilograme, 14
Prune, Total, Alba, Anul 2012, Kilograme, 9
Prune, Total, Alba, Anul 2013, Kilograme, 12
Prune, Total, Alba, Anul 2014, Kilograme, 9
Prune, Total, Alba, Anul 2015, Kilograme, 11
Prune, Total, Alba, Anul 2016, Kilograme, 10
Prune, Total, Alba, Anul 2017, Kilograme, 12
Prune, Total, Alba, Anul 2018, Kilograme, 28
Prune, Total, Alba, Anul 2019, Kilograme, 25
Prune, Total, Alba, Anul 2020, Kilograme, 24
Prune, Total, Alba, Anul 2021, Kilograme, 25
Prune, Total, Alba, Anul 2022, Kilograme, 22
Prune, Total, Alba, Anul 2023, Kilograme, 22
Prune, Total, Alba, Anul 2024, Kilograme, 20
Prune, Total, Brasov, Anul 2000, Kilograme, 5
Prune, Total, Brasov, Anul 2001, Kilograme, 4
Prune, Total, Brasov, Anul 2002, Kilograme, 6
Prune, Total, Brasov, Anul 2003, Kilograme, 7
Prune, Total, Brasov, Anul 2004, Kilograme, 4
Prune, Total, Brasov, Anul 2005, Kilograme, 8
Prune, Total, Brasov, Anul 2006, Kilograme, 9
Prune, Total, Brasov, Anul 2007, Kilograme, 2
Prune, Total, Brasov, Anul 2008, Kilograme, 6
Prune, Total, Brasov, Anul 2009, Kilograme, 11
Prune, Total, Brasov, Anul 2010, Kilograme, 9
Prune, Total, Brasov, Anul 2011, Kilograme, 11
Prune, Total, Brasov, Anul 2012, Kilograme, 6
Prune, Total, Brasov, Anul 2013, Kilograme, 7
Prune, Total, Brasov, Anul 2014, Kilograme, 10
Prune, Total, Brasov, Anul 2015, Kilograme, 10
Prune, Total, Brasov, Anul 2016, Kilograme, 9
Prune, Total, Brasov, Anul 2017, Kilograme, 8
Prune, Total, Brasov, Anul 2018, Kilograme, 20
Prune, Total, Brasov, Anul 2019, Kilograme, 17
Prune, Total, Brasov, Anul 2020, Kilograme, 15
Prune, Total, Brasov, Anul 2021, Kilograme, 16
Prune, Total, Brasov, Anul 2022, Kilograme, 13
Prune, Total, Brasov, Anul 2023, Kilograme, 13
Prune, Total, Brasov, Anul 2024, Kilograme, 12
Prune, Total, Covasna, Anul 2000, Kilograme, 9
Prune, Total, Covasna, Anul 2001, Kilograme, 10
Prune, Total, Covasna, Anul 2002, Kilograme, 4
Prune, Total, Covasna, Anul 2003, Kilograme, 9
Prune, Total, Covasna, Anul 2005, Kilograme, 7
Prune, Total, Covasna, Anul 2006, Kilograme, 14
Prune, Total, Covasna, Anul 2007, Kilograme, 6
Prune, Total, Covasna, Anul 2008, Kilograme, 8
Prune, Total, Covasna, Anul 2009, Kilograme, 10
Prune, Total, Covasna, Anul 2010, Kilograme, 10
Prune, Total, Covasna, Anul 2011, Kilograme, 12
Prune, Total, Covasna, Anul 2012, Kilograme, 6
Prune, Total, Covasna, Anul 2013, Kilograme, 11
Prune, Total, Covasna, Anul 2014, Kilograme, 15
Prune, Total, Covasna, Anul 2015, Kilograme, 14
Prune, Total, Covasna, Anul 2016, Kilograme, 14
Prune, Total, Covasna, Anul 2017, Kilograme, 15
Prune, Total, Covasna, Anul 2018, Kilograme, 30
Prune, Total, Covasna, Anul 2019, Kilograme, 25
Prune, Total, Covasna, Anul 2020, Kilograme, 24
Prune, Total, Covasna, Anul 2021, Kilograme, 24
Prune, Total, Covasna, Anul 2022, Kilograme, 20
Prune, Total, Covasna, Anul 2023, Kilograme, 20
Prune, Total, Covasna, Anul 2024, Kilograme, 19
Prune, Total, Harghita, Anul 2000, Kilograme, 8
Prune, Total, Harghita, Anul 2001, Kilograme, 9
Prune, Total, Harghita, Anul 2002, Kilograme, 3
Prune, Total, Harghita, Anul 2003, Kilograme, 3
Prune, Total, Harghita, Anul 2004, Kilograme, 3
Prune, Total, Harghita, Anul 2005, Kilograme, 4
Prune, Total, Harghita, Anul 2006, Kilograme, 10
Prune, Total, Harghita, Anul 2007, Kilograme, 6
Prune, Total, Harghita, Anul 2008, Kilograme, 16
Prune, Total, Harghita, Anul 2009, Kilograme, 17
Prune, Total, Harghita, Anul 2010, Kilograme, 13
Prune, Total, Harghita, Anul 2011, Kilograme, 10
Prune, Total, Harghita, Anul 2012, Kilograme, 6
Prune, Total, Harghita, Anul 2013, Kilograme, 9
Prune, Total, Harghita, Anul 2014, Kilograme, 11
Prune, Total, Harghita, Anul 2015, Kilograme, 11
Prune, Total, Harghita, Anul 2016, Kilograme, 11
Prune, Total, Harghita, Anul 2017, Kilograme, 10
Prune, Total, Harghita, Anul 2018, Kilograme, 24
Prune, Total, Harghita, Anul 2019, Kilograme, 20
Prune, Total, Harghita, Anul 2020, Kilograme, 18
Prune, Total, Harghita, Anul 2021, Kilograme, 20
Prune, Total, Harghita, Anul 2022, Kilograme, 17
Prune, Total, Harghita, Anul 2023, Kilograme, 16
Prune, Total, Harghita, Anul 2024, Kilograme, 15
Prune, Total, Mures, Anul 2000, Kilograme, 10
Prune, Total, Mures, Anul 2001, Kilograme, 10
Prune, Total, Mures, Anul 2002, Kilograme, 6
Prune, Total, Mures, Anul 2003, Kilograme, 13
Prune, Total, Mures, Anul 2004, Kilograme, 8
Prune, Total, Mures, Anul 2005, Kilograme, 15
Prune, Total, Mures, Anul 2006, Kilograme, 17
Prune, Total, Mures, Anul 2007, Kilograme, 1
Prune, Total, Mures, Anul 2008, Kilograme, 17
Prune, Total, Mures, Anul 2009, Kilograme, 16
Prune, Total, Mures, Anul 2010, Kilograme, 17
Prune, Total, Mures, Anul 2011, Kilograme, 11
Prune, Total, Mures, Anul 2012, Kilograme, 8
Prune, Total, Mures, Anul 2013, Kilograme, 10
Prune, Total, Mures, Anul 2014, Kilograme, 12
Prune, Total, Mures, Anul 2015, Kilograme, 12
Prune, Total, Mures, Anul 2016, Kilograme, 15
Prune, Total, Mures, Anul 2017, Kilograme, 13
Prune, Total, Mures, Anul 2018, Kilograme, 26
Prune, Total, Mures, Anul 2019, Kilograme, 22
Prune, Total, Mures, Anul 2020, Kilograme, 20
Prune, Total, Mures, Anul 2021, Kilograme, 21
