PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,regiune
ALLSKY_SFC_LW_DWN,2025,22.18,20.86,24.33,26.1,27.59,28.97,30.7,29.23,28.5,25.53,25.27,22.75,26.03,centru
ALLSKY_SFC_PAR_TOT,1984,2.63,4.3,5.55,6.83,8.66,9.17,8.38,7.84,6.64,4.28,3.22,2.19,5.81,centru
ALLSKY_SFC_PAR_TOT,1985,3.09,4.37,6.5,7.35,9.24,8.16,9.35,8.46,6.46,4.4,2.84,2.16,6.04,centru
ALLSKY_SFC_PAR_TOT,1986,2.61,4.05,5.98,7.6,9.58,8.71,7.97,8.54,6.96,4.7,2.98,2.04,5.99,centru
ALLSKY_SFC_PAR_TOT,1987,2.6,4.35,6.59,7.0,7.45,9.33,9.45,7.83,6.89,4.19,2.24,2.25,5.85,centru
ALLSKY_SFC_PAR_TOT,1988,2.58,3.85,5.23,7.06,8.94,9.36,10.25,8.96,5.5,4.58,2.69,1.99,5.92,centru
ALLSKY_SFC_PAR_TOT,1989,3.06,3.74,5.37,6.73,8.05,8.14,9.8,7.92,5.37,4.02,2.58,2.2,5.6,centru
ALLSKY_SFC_PAR_TOT,1990,2.92,4.19,6.13,6.82,9.06,9.49,9.7,9.02,5.71,4.55,2.71,1.98,6.04,centru
ALLSKY_SFC_PAR_TOT,1991,2.57,3.99,5.28,6.57,6.75,9.35,9.02,7.96,6.71,4.01,2.85,2.39,5.63,centru
ALLSKY_SFC_PAR_TOT,1992,2.83,4.44,5.81,6.85,8.7,8.38,10.03,9.47,7.11,3.74,2.38,2.67,6.04,centru
ALLSKY_SFC_PAR_TOT,1993,2.99,3.98,5.48,6.67,8.95,9.96,10.22,8.66,6.31,4.48,2.93,2.16,6.08,centru
ALLSKY_SFC_PAR_TOT,1994,2.51,4.11,5.62,7.72,9.23,10.19,9.75,8.6,7.52,4.02,3.08,2.29,6.23,centru
ALLSKY_SFC_PAR_TOT,1995,2.98,4.15,5.24,7.11,7.63,9.58,10.22,7.94,5.85,4.81,2.95,2.23,5.9,centru
ALLSKY_SFC_PAR_TOT,1996,2.91,4.41,6.71,8.26,8.79,10.24,9.73,7.68,4.41,4.37,2.92,2.04,6.04,centru
ALLSKY_SFC_PAR_TOT,1997,2.94,4.26,6.44,7.63,10.12,9.89,8.15,6.92,6.38,4.74,3.07,1.99,6.05,centru
ALLSKY_SFC_PAR_TOT,1998,2.69,4.46,6.51,8.59,9.34,9.32,9.6,9.15,5.66,4.36,2.93,2.59,6.28,centru
ALLSKY_SFC_PAR_TOT,1999,2.77,4.41,6.18,7.73,9.49,9.63,10.16,8.33,6.3,4.12,2.71,2.13,6.17,centru
ALLSKY_SFC_PAR_TOT,2000,3.03,4.39,6.41,7.8,10.8,10.25,10.3,8.91,5.71,4.9,2.95,2.27,6.49,centru
ALLSKY_SFC_PAR_TOT,2001,2.06,3.11,4.78,6.83,8.46,7.56,9.06,8.44,5.3,4.3,2.28,1.84,5.35,centru
ALLSKY_SFC_PAR_TOT,2002,2.33,3.8,5.43,5.93,9.1,8.96,8.51,6.96,4.9,3.94,2.36,1.56,5.32,centru
ALLSKY_SFC_PAR_TOT,2003,1.8,3.93,5.44,6.67,10.02,9.64,8.1,8.76,5.64,3.28,2.36,2.07,5.65,centru
ALLSKY_SFC_PAR_TOT,2004,1.91,3.33,4.88,7.22,7.69,8.58,8.92,8.08,6.13,4.53,2.21,1.7,5.44,centru
ALLSKY_SFC_PAR_TOT,2005,2.15,3.42,5.51,6.23,8.2,9.01,8.51,7.29,5.81,4.31,2.48,1.58,5.39,centru
ALLSKY_SFC_PAR_TOT,2006,2.21,3.48,4.71,5.96,8.13,8.54,9.52,7.88,6.2,4.73,2.42,1.95,5.49,centru
ALLSKY_SFC_PAR_TOT,2007,2.18,2.97,5.34,7.47,8.81,10.18,10.63,7.66,5.93,3.77,2.05,1.7,5.74,centru
ALLSKY_SFC_PAR_TOT,2008,2.37,3.92,5.17,6.16,8.64,9.7,9.72,9.24,5.51,4.3,2.68,1.76,5.77,centru
ALLSKY_SFC_PAR_TOT,2009,2.14,3.06,4.56,7.9,8.78,10.1,10.25,7.73,6.29,3.72,2.34,1.37,5.7,centru
ALLSKY_SFC_PAR_TOT,2010,1.87,3.71,4.8,6.12,7.75,8.92,9.02,8.75,5.9,3.82,2.72,1.62,5.43,centru
ALLSKY_SFC_PAR_TOT,2011,2.13,3.34,5.29,6.88,8.31,9.26,9.57,9.46,7.1,4.4,2.82,1.77,5.88,centru
ALLSKY_SFC_PAR_TOT,2012,2.03,4.4,5.97,7.04,7.43,11.1,10.81,9.0,7.22,4.46,2.66,1.6,6.14,centru
ALLSKY_SFC_PAR_TOT,2013,2.3,2.74,4.43,7.2,9.06,8.73,9.77,8.39,5.84,4.57,2.58,2.06,5.66,centru
ALLSKY_SFC_PAR_TOT,2014,1.9,3.45,5.55,5.69,7.89,8.6,8.68,8.82,6.67,4.02,2.28,1.67,5.45,centru
ALLSKY_SFC_PAR_TOT,2015,2.03,3.41,4.95,6.91,8.56,9.24,10.43,8.61,6.07,4.04,2.56,2.07,5.75,centru
ALLSKY_SFC_PAR_TOT,2016,2.05,3.22,4.64,7.09,7.56,9.39,9.83,8.45,6.46,3.28,2.33,1.9,5.52,centru
ALLSKY_SFC_PAR_TOT,2017,2.41,3.63,5.4,6.91,7.92,10.26,9.77,9.23,6.43,4.36,2.08,1.58,5.84,centru
ALLSKY_SFC_PAR_TOT,2018,2.17,2.77,4.18,8.16,9.34,8.69,8.43,9.43,6.47,5.05,2.51,1.55,5.75,centru
ALLSKY_SFC_PAR_TOT,2019,2.01,3.81,5.83,6.55,7.38,9.95,9.18,9.29,6.72,4.87,2.25,1.91,5.82,centru
ALLSKY_SFC_PAR_TOT,2020,2.47,3.36,5.13,8.66,7.95,8.78,9.5,9.1,6.89,3.81,2.41,1.49,5.8,centru
ALLSKY_SFC_PAR_TOT,2021,1.8,3.52,4.9,6.43,8.69,8.88,10.23,8.77,6.42,4.35,2.63,1.47,5.69,centru
ALLSKY_SFC_PAR_TOT,2022,2.13,3.56,5.46,6.52,9.33,10.35,9.81,8.35,5.47,4.77,2.44,1.83,5.85,centru
ALLSKY_SFC_PAR_TOT,2023,1.76,3.37,5.27,5.63,7.71,8.52,10.04,8.99,7.01,4.84,2.26,1.81,5.62,centru
ALLSKY_SFC_PAR_TOT,2024,2.15,3.43,5.07,7.49,7.98,10.76,10.23,8.55,6.36,4.72,2.58,1.55,5.91,centru
ALLSKY_SFC_PAR_TOT,2025,2.67,3.69,4.9,6.75,7.3,10.91,9.56,9.06,6.39,3.54,2.21,1.88,5.75,centru
ALLSKY_SFC_SW_DWN,1984,4.71,8.36,10.6,12.94,17.43,19.35,17.49,16.43,13.91,9.07,6.51,3.98,11.73,centru
ALLSKY_SFC_SW_DWN,1985,5.98,8.44,12.8,13.84,18.51,16.89,19.43,17.74,13.57,9.44,5.49,4.02,12.21,centru
ALLSKY_SFC_SW_DWN,1986,4.75,7.64,11.66,14.4,19.39,18.25,16.67,17.94,14.73,10.07,5.9,3.74,12.12,centru
ALLSKY_SFC_SW_DWN,1987,4.76,8.34,12.81,13.27,14.72,19.15,19.92,16.26,14.48,8.96,4.33,4.15,11.78,centru
ALLSKY_SFC_SW_DWN,1988,4.69,7.32,9.81,13.46,18.16,19.54,21.67,18.87,11.54,9.91,5.41,3.58,12.02,centru
ALLSKY_SFC_SW_DWN,1989,5.77,7.08,9.95,12.68,16.06,16.91,20.77,16.52,11.29,8.65,5.08,4.01,11.26,centru
ALLSKY_SFC_SW_DWN,1990,5.46,8.08,11.45,12.87,18.56,20.09,20.44,19.35,11.88,9.81,5.34,3.67,12.28,centru
ALLSKY_SFC_SW_DWN,1991,4.75,7.63,9.9,12.43,13.36,19.48,18.83,16.77,14.3,8.54,5.76,4.43,11.36,centru
ALLSKY_SFC_SW_DWN,1992,5.31,8.62,11.16,12.9,17.79,17.74,21.61,20.32,15.47,8.04,4.55,5.15,12.41,centru
ALLSKY_SFC_SW_DWN,1993,5.53,8.02,10.45,12.62,18.17,21.07,21.89,18.49,13.41,9.56,5.97,3.97,12.46,centru
ALLSKY_SFC_SW_DWN,1994,4.51,7.82,10.56,14.58,18.5,21.46,20.7,18.25,15.79,8.62,6.09,4.17,12.61,centru
ALLSKY_SFC_SW_DWN,1995,5.62,7.66,9.72,13.32,15.28,20.11,21.77,16.68,12.3,10.32,5.82,4.11,11.92,centru
ALLSKY_SFC_SW_DWN,1996,5.44,8.45,12.98,16.19,17.66,21.7,20.72,16.19,9.13,9.26,5.77,3.68,12.27,centru
ALLSKY_SFC_SW_DWN,1997,5.53,8.01,12.32,14.41,20.6,20.9,17.31,14.64,13.75,10.28,6.24,3.56,12.31,centru
ALLSKY_SFC_SW_DWN,1998,4.94,8.58,12.46,16.35,18.78,19.55,20.47,19.54,12.09,9.4,5.86,4.95,12.77,centru
ALLSKY_SFC_SW_DWN,1999,5.02,8.24,11.65,14.49,19.41,20.24,21.61,17.5,13.3,8.87,5.32,3.85,12.48,centru
