PARAMETER,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN,regiune
ALLSKY_SFC_SW_DWN,2000,5.65,8.37,12.02,14.79,22.27,21.68,21.91,18.95,12.13,10.54,5.85,4.17,13.22,centru
ALLSKY_SFC_SW_DWN,2001,4.91,7.3,10.99,15.78,19.38,17.09,20.27,19.06,11.85,9.79,5.29,4.33,12.21,centru
ALLSKY_SFC_SW_DWN,2002,5.38,8.9,12.68,13.62,20.86,20.2,19.06,15.75,11.24,8.96,5.45,3.78,12.18,centru
ALLSKY_SFC_SW_DWN,2003,4.14,9.11,12.66,15.4,22.84,21.94,18.06,19.92,12.84,7.48,5.48,4.96,12.92,centru
ALLSKY_SFC_SW_DWN,2004,4.34,7.74,11.4,16.68,17.52,19.32,19.9,18.01,13.88,10.36,5.12,4.03,12.37,centru
ALLSKY_SFC_SW_DWN,2005,5.13,7.63,12.8,14.35,18.53,20.34,18.91,16.21,13.08,9.94,5.83,3.8,12.24,centru
ALLSKY_SFC_SW_DWN,2006,5.29,7.88,10.79,13.6,18.49,19.07,21.32,17.53,13.99,10.82,5.68,4.64,12.46,centru
ALLSKY_SFC_SW_DWN,2007,5.14,6.95,12.58,17.43,19.9,22.85,24.02,17.03,13.44,8.59,4.84,4.11,13.11,centru
ALLSKY_SFC_SW_DWN,2008,5.48,9.22,11.98,14.01,19.66,21.8,21.8,20.77,12.41,9.83,6.28,4.21,13.14,centru
ALLSKY_SFC_SW_DWN,2009,5.05,7.32,10.69,18.46,19.94,22.76,22.88,17.32,14.25,8.39,5.4,3.26,13.0,centru
ALLSKY_SFC_SW_DWN,2010,4.48,8.09,11.12,14.06,17.41,19.85,20.0,19.48,13.28,8.88,6.25,3.82,12.25,centru
ALLSKY_SFC_SW_DWN,2011,5.13,7.78,12.28,15.87,18.88,20.75,21.34,21.13,16.13,10.26,6.82,4.21,13.41,centru
ALLSKY_SFC_SW_DWN,2012,4.84,9.44,13.93,16.02,16.64,24.77,24.16,20.28,16.37,10.18,6.19,3.76,13.88,centru
ALLSKY_SFC_SW_DWN,2013,5.23,6.25,10.17,16.49,20.48,19.4,21.96,18.7,13.22,10.44,5.93,4.97,12.81,centru
ALLSKY_SFC_SW_DWN,2014,4.5,8.18,12.91,12.89,17.82,19.26,19.29,19.76,15.13,9.15,5.29,3.96,12.37,centru
ALLSKY_SFC_SW_DWN,2015,4.79,8.13,11.56,15.99,19.4,20.78,23.33,19.26,13.54,9.24,5.94,4.96,13.11,centru
ALLSKY_SFC_SW_DWN,2016,4.95,7.55,10.78,16.15,17.09,20.79,21.95,18.79,14.53,7.48,5.45,4.63,12.52,centru
ALLSKY_SFC_SW_DWN,2017,5.69,8.3,12.52,15.84,17.93,22.96,21.7,20.66,14.47,10.01,4.84,3.71,13.25,centru
ALLSKY_SFC_SW_DWN,2018,5.11,6.44,9.66,18.69,21.1,19.29,18.68,21.01,14.57,11.62,5.81,3.65,13.0,centru
ALLSKY_SFC_SW_DWN,2019,4.61,8.96,13.59,14.95,16.63,22.17,20.57,20.74,15.34,11.26,5.14,4.58,13.23,centru
ALLSKY_SFC_SW_DWN,2020,5.95,7.92,11.91,20.23,18.03,19.52,21.07,20.34,15.42,8.63,5.66,3.52,13.19,centru
ALLSKY_SFC_SW_DWN,2021,4.22,8.35,11.42,14.8,19.73,19.76,22.82,19.65,14.58,10.05,6.12,3.52,12.95,centru
ALLSKY_SFC_SW_DWN,2022,5.19,8.42,12.96,14.92,21.18,23.12,21.9,18.48,12.14,10.85,5.59,4.29,13.28,centru
ALLSKY_SFC_SW_DWN,2023,4.12,7.99,12.19,12.76,17.29,18.84,22.21,19.91,15.66,10.96,5.15,4.21,12.64,centru
ALLSKY_SFC_SW_DWN,2024,5.14,7.93,11.72,17.09,18.04,23.9,22.75,18.96,14.28,10.81,6.04,3.63,13.37,centru
ALLSKY_SFC_SW_DWN,2025,6.3,8.91,11.34,15.37,16.47,24.55,21.29,20.35,14.27,8.0,4.99,4.46,13.04,centru
GWETPROF,1984,0.58,0.64,0.67,0.64,0.64,0.6,0.55,0.52,0.52,0.55,0.55,0.57,0.59,centru
GWETPROF,1985,0.59,0.65,0.65,0.62,0.62,0.61,0.58,0.53,0.51,0.48,0.5,0.57,0.58,centru
GWETPROF,1986,0.61,0.62,0.63,0.59,0.55,0.53,0.52,0.49,0.46,0.47,0.49,0.49,0.54,centru
GWETPROF,1987,0.53,0.56,0.57,0.58,0.56,0.55,0.48,0.47,0.46,0.49,0.52,0.6,0.53,centru
GWETPROF,1988,0.64,0.68,0.7,0.73,0.66,0.63,0.54,0.48,0.51,0.51,0.52,0.57,0.6,centru
GWETPROF,1989,0.59,0.59,0.61,0.58,0.6,0.57,0.51,0.5,0.53,0.54,0.54,0.55,0.56,centru
GWETPROF,1990,0.57,0.58,0.56,0.54,0.52,0.52,0.49,0.46,0.46,0.47,0.5,0.52,0.52,centru
GWETPROF,1991,0.55,0.55,0.54,0.53,0.53,0.53,0.58,0.56,0.52,0.53,0.55,0.57,0.55,centru
GWETPROF,1992,0.59,0.61,0.6,0.58,0.52,0.52,0.5,0.47,0.47,0.51,0.56,0.58,0.54,centru
GWETPROF,1993,0.59,0.59,0.61,0.65,0.59,0.53,0.51,0.51,0.55,0.55,0.55,0.59,0.57,centru
GWETPROF,1994,0.64,0.65,0.63,0.62,0.59,0.56,0.5,0.48,0.48,0.52,0.54,0.55,0.56,centru
GWETPROF,1995,0.59,0.63,0.62,0.61,0.6,0.58,0.51,0.49,0.54,0.54,0.56,0.61,0.57,centru
GWETPROF,1996,0.66,0.68,0.68,0.66,0.61,0.54,0.51,0.5,0.55,0.57,0.58,0.62,0.6,centru
GWETPROF,1997,0.66,0.68,0.67,0.72,0.65,0.6,0.57,0.57,0.57,0.58,0.59,0.63,0.62,centru
GWETPROF,1998,0.68,0.69,0.68,0.65,0.62,0.59,0.57,0.49,0.53,0.61,0.64,0.65,0.62,centru
GWETPROF,1999,0.67,0.7,0.71,0.69,0.66,0.57,0.51,0.48,0.51,0.5,0.51,0.54,0.59,centru
GWETPROF,2000,0.57,0.61,0.63,0.61,0.53,0.47,0.48,0.47,0.48,0.46,0.46,0.47,0.52,centru
GWETPROF,2001,0.49,0.52,0.54,0.53,0.53,0.52,0.52,0.49,0.5,0.52,0.54,0.56,0.52,centru
GWETPROF,2002,0.61,0.61,0.59,0.56,0.51,0.51,0.48,0.48,0.47,0.52,0.57,0.59,0.54,centru
GWETPROF,2003,0.64,0.65,0.65,0.63,0.55,0.5,0.49,0.49,0.51,0.57,0.63,0.63,0.58,centru
GWETPROF,2004,0.67,0.72,0.73,0.71,0.66,0.58,0.52,0.55,0.54,0.57,0.61,0.67,0.63,centru
GWETPROF,2005,0.69,0.73,0.77,0.74,0.75,0.67,0.63,0.64,0.63,0.6,0.59,0.67,0.68,centru
GWETPROF,2006,0.7,0.71,0.75,0.77,0.7,0.66,0.59,0.59,0.58,0.57,0.58,0.59,0.65,centru
GWETPROF,2007,0.63,0.66,0.67,0.62,0.57,0.55,0.49,0.55,0.62,0.61,0.69,0.73,0.62,centru
GWETPROF,2008,0.74,0.75,0.74,0.73,0.69,0.63,0.57,0.54,0.53,0.61,0.6,0.65,0.65,centru
GWETPROF,2009,0.68,0.72,0.77,0.71,0.6,0.57,0.59,0.53,0.5,0.53,0.6,0.62,0.62,centru
GWETPROF,2010,0.71,0.75,0.77,0.77,0.72,0.69,0.69,0.61,0.57,0.57,0.58,0.66,0.67,centru
GWETPROF,2011,0.69,0.71,0.73,0.69,0.63,0.59,0.57,0.55,0.47,0.48,0.48,0.49,0.59,centru
GWETPROF,2012,0.52,0.55,0.62,0.61,0.6,0.6,0.49,0.47,0.47,0.49,0.54,0.57,0.54,centru
GWETPROF,2013,0.62,0.67,0.68,0.71,0.6,0.62,0.56,0.51,0.53,0.59,0.6,0.62,0.61,centru
GWETPROF,2014,0.62,0.64,0.62,0.61,0.65,0.62,0.59,0.56,0.52,0.53,0.55,0.62,0.59,centru
GWETPROF,2015,0.66,0.69,0.69,0.66,0.62,0.55,0.53,0.5,0.52,0.59,0.59,0.63,0.6,centru
GWETPROF,2016,0.65,0.68,0.67,0.66,0.67,0.67,0.59,0.55,0.51,0.56,0.64,0.66,0.63,centru
GWETPROF,2017,0.66,0.68,0.66,0.62,0.62,0.59,0.55,0.5,0.51,0.52,0.58,0.65,0.59,centru
GWETPROF,2018,0.68,0.71,0.74,0.71,0.59,0.59,0.66,0.57,0.51,0.49,0.5,0.55,0.61,centru
GWETPROF,2019,0.62,0.67,0.67,0.61,0.65,0.63,0.54,0.52,0.47,0.5,0.53,0.56,0.58,centru
GWETPROF,2020,0.59,0.62,0.65,0.61,0.59,0.67,0.64,0.55,0.53,0.61,0.65,0.67,0.61,centru
GWETPROF,2021,0.72,0.75,0.76,0.76,0.7,0.66,0.56,0.5,0.52,0.53,0.54,0.6,0.63,centru
GWETPROF,2022,0.65,0.66,0.65,0.63,0.59,0.54,0.49,0.5,0.58,0.59,0.59,0.65,0.59,centru
GWETPROF,2023,0.74,0.79,0.79,0.78,0.69,0.63,0.58,0.51,0.5,0.5,0.55,0.6,0.64,centru
GWETPROF,2024,0.63,0.66,0.68,0.63,0.59,0.56,0.51,0.48,0.48,0.54,0.53,0.58,0.57,centru
GWETPROF,2025,0.6,0.6,0.6,0.6,0.61,0.56,0.5,0.51,0.51,0.58,0.6,0.66,0.58,centru
GWETROOT,1984,0.59,0.66,0.69,0.66,0.66,0.61,0.56,0.52,0.52,0.55,0.55,0.58,0.6,centru
GWETROOT,1985,0.6,0.66,0.67,0.63,0.63,0.63,0.59,0.53,0.51,0.48,0.5,0.58,0.58,centru
GWETROOT,1986,0.62,0.64,0.64,0.6,0.55,0.54,0.53,0.49,0.46,0.47,0.49,0.49,0.54,centru
GWETROOT,1987,0.53,0.57,0.58,0.59,0.57,0.55,0.48,0.47,0.46,0.5,0.53,0.62,0.54,centru
GWETROOT,1988,0.66,0.7,0.72,0.75,0.67,0.64,0.55,0.48,0.51,0.52,0.53,0.58,0.61,centru
GWETROOT,1989,0.6,0.6,0.62,0.59,0.62,0.58,0.52,0.5,0.54,0.55,0.55,0.56,0.57,centru
GWETROOT,1990,0.58,0.59,0.57,0.54,0.53,0.52,0.49,0.46,0.46,0.47,0.5,0.53,0.52,centru
GWETROOT,1991,0.56,0.56,0.55,0.53,0.53,0.54,0.59,0.57,0.52,0.54,0.56,0.58,0.55,centru
GWETROOT,1992,0.6,0.62,0.62,0.59,0.53,0.52,0.5,0.47,0.47,0.52,0.56,0.59,0.55,centru
GWETROOT,1993,0.6,0.6,0.62,0.67,0.6,0.53,0.51,0.51,0.55,0.56,0.56,0.61,0.58,centru
GWETROOT,1994,0.65,0.66,0.65,0.63,0.6,0.57,0.51,0.48,0.48,0.52,0.54,0.56,0.57,centru
GWETROOT,1995,0.6,0.65,0.64,0.62,0.61,0.59,0.52,0.49,0.54,0.54,0.57,0.62,0.58,centru
GWETROOT,1996,0.67,0.7,0.7,0.68,0.62,0.54,0.51,0.5,0.56,0.58,0.59,0.64,0.61,centru
GWETROOT,1997,0.68,0.7,0.69,0.74,0.67,0.61,0.58,0.58,0.58,0.59,0.6,0.65,0.64,centru
GWETROOT,1998,0.69,0.71,0.7,0.67,0.63,0.61,0.58,0.5,0.54,0.62,0.66,0.67,0.63,centru
GWETROOT,1999,0.69,0.72,0.73,0.71,0.67,0.57,0.51,0.48,0.52,0.5,0.51,0.55,0.6,centru
GWETROOT,2000,0.57,0.62,0.64,0.62,0.53,0.47,0.49,0.47,0.48,0.46,0.46,0.47,0.52,centru
GWETROOT,2001,0.5,0.52,0.54,0.54,0.53,0.52,0.53,0.49,0.51,0.52,0.55,0.57,0.53,centru
GWETROOT,2002,0.62,0.63,0.6,0.57,0.51,0.52,0.49,0.48,0.47,0.53,0.58,0.6,0.55,centru
GWETROOT,2003,0.65,0.67,0.67,0.65,0.56,0.5,0.49,0.49,0.51,0.58,0.64,0.65,0.59,centru
GWETROOT,2004,0.69,0.74,0.75,0.73,0.68,0.59,0.53,0.56,0.55,0.58,0.63,0.69,0.64,centru
GWETROOT,2005,0.71,0.75,0.8,0.77,0.77,0.68,0.64,0.65,0.64,0.62,0.61,0.69,0.69,centru
