An,Judet,Specie_Pomi,Nr_Pomi,Tone_Totale,Kg_per_Pom
 Anul 2003, Bihor,Meri,1647963,3249,9
 Anul 2003, Bihor,Meri,1647963,3249,15
 Anul 2003, Bihor,Meri,1647963,3249,4
 Anul 2003, Bihor,Meri,1647963,3249,9
 Anul 2003, Bihor,Meri,1647963,3249,15
 Anul 2003, Bihor,Meri,1647963,1958,11
 Anul 2003, Bihor,Meri,1647963,1958,9
 Anul 2003, Bihor,Meri,1647963,1958,15
 Anul 2003, Bihor,Meri,1647963,1958,4
 Anul 2003, Bihor,Meri,1647963,1958,9
 Anul 2003, Bihor,Meri,1647963,1958,15
 Anul 2003, Bihor,Meri,1647963,1514,11
 Anul 2003, Bihor,Meri,1647963,1514,9
 Anul 2003, Bihor,Meri,1647963,1514,15
 Anul 2003, Bihor,Meri,1647963,1514,4
 Anul 2003, Bihor,Meri,1647963,1514,9
 Anul 2003, Bihor,Meri,1647963,1514,15
 Anul 2003, Bihor,Meri,1647963,1293,11
 Anul 2003, Bihor,Meri,1647963,1293,9
 Anul 2003, Bihor,Meri,1647963,1293,15
 Anul 2003, Bihor,Meri,1647963,1293,4
 Anul 2003, Bihor,Meri,1647963,1293,9
 Anul 2003, Bihor,Meri,1647963,1293,15
 Anul 2004, Bihor,Meri,1481138,15429,11
 Anul 2004, Bihor,Meri,1481138,15429,33
 Anul 2004, Bihor,Meri,1481138,15429,30
 Anul 2004, Bihor,Meri,1481138,15429,10
 Anul 2004, Bihor,Meri,1481138,15429,4
 Anul 2004, Bihor,Meri,1481138,15429,3
 Anul 2004, Bihor,Meri,1481138,48476,11
 Anul 2004, Bihor,Meri,1481138,48476,33
 Anul 2004, Bihor,Meri,1481138,48476,30
 Anul 2004, Bihor,Meri,1481138,48476,10
 Anul 2004, Bihor,Meri,1481138,48476,4
 Anul 2004, Bihor,Meri,1481138,48476,3
 Anul 2004, Bihor,Meri,1481138,7925,11
 Anul 2004, Bihor,Meri,1481138,7925,33
 Anul 2004, Bihor,Meri,1481138,7925,30
 Anul 2004, Bihor,Meri,1481138,7925,10
 Anul 2004, Bihor,Meri,1481138,7925,4
 Anul 2004, Bihor,Meri,1481138,7925,3
 Anul 2004, Bihor,Meri,1481138,4469,11
 Anul 2004, Bihor,Meri,1481138,4469,33
 Anul 2004, Bihor,Meri,1481138,4469,30
 Anul 2004, Bihor,Meri,1481138,4469,10
 Anul 2004, Bihor,Meri,1481138,4469,4
 Anul 2004, Bihor,Meri,1481138,4469,3
 Anul 2004, Bihor,Meri,1481138,701,11
 Anul 2004, Bihor,Meri,1481138,701,33
 Anul 2004, Bihor,Meri,1481138,701,30
 Anul 2004, Bihor,Meri,1481138,701,10
 Anul 2004, Bihor,Meri,1481138,701,4
 Anul 2004, Bihor,Meri,1481138,701,3
 Anul 2004, Bihor,Meri,1481138,323,11
 Anul 2004, Bihor,Meri,1481138,323,33
 Anul 2004, Bihor,Meri,1481138,323,30
 Anul 2004, Bihor,Meri,1481138,323,10
 Anul 2004, Bihor,Meri,1481138,323,4
 Anul 2004, Bihor,Meri,1481138,323,3
 Anul 2005, Bihor,Meri,862876,16908,14
 Anul 2005, Bihor,Meri,862876,16908,11
 Anul 2005, Bihor,Meri,862876,16908,13
 Anul 2005, Bihor,Meri,862876,16908,10
 Anul 2005, Bihor,Meri,862876,16908,10
 Anul 2005, Bihor,Meri,862876,16908,12
 Anul 2005, Bihor,Meri,862876,9781,14
 Anul 2005, Bihor,Meri,862876,9781,11
 Anul 2005, Bihor,Meri,862876,9781,13
 Anul 2005, Bihor,Meri,862876,9781,10
 Anul 2005, Bihor,Meri,862876,9781,10
 Anul 2005, Bihor,Meri,862876,9781,12
 Anul 2005, Bihor,Meri,862876,3201,14
 Anul 2005, Bihor,Meri,862876,3201,11
 Anul 2005, Bihor,Meri,862876,3201,13
 Anul 2005, Bihor,Meri,862876,3201,10
 Anul 2005, Bihor,Meri,862876,3201,10
 Anul 2005, Bihor,Meri,862876,3201,12
 Anul 2005, Bihor,Meri,862876,2607,14
 Anul 2005, Bihor,Meri,862876,2607,11
 Anul 2005, Bihor,Meri,862876,2607,13
 Anul 2005, Bihor,Meri,862876,2607,10
 Anul 2005, Bihor,Meri,862876,2607,10
 Anul 2005, Bihor,Meri,862876,2607,12
 Anul 2005, Bihor,Meri,862876,1050,14
 Anul 2005, Bihor,Meri,862876,1050,11
 Anul 2005, Bihor,Meri,862876,1050,13
 Anul 2005, Bihor,Meri,862876,1050,10
 Anul 2005, Bihor,Meri,862876,1050,10
 Anul 2005, Bihor,Meri,862876,1050,12
 Anul 2005, Bihor,Meri,862876,1092,14
 Anul 2005, Bihor,Meri,862876,1092,11
 Anul 2005, Bihor,Meri,862876,1092,13
 Anul 2005, Bihor,Meri,862876,1092,10
 Anul 2005, Bihor,Meri,862876,1092,10
 Anul 2005, Bihor,Meri,862876,1092,12
 Anul 2006, Bihor,Meri,874880,10699,9
 Anul 2006, Bihor,Meri,874880,10699,17
 Anul 2006, Bihor,Meri,874880,10699,13
 Anul 2006, Bihor,Meri,874880,10699,11
 Anul 2006, Bihor,Meri,874880,10699,12
 Anul 2006, Bihor,Meri,874880,10699,13
 Anul 2006, Bihor,Meri,874880,14679,9
 Anul 2006, Bihor,Meri,874880,14679,17
 Anul 2006, Bihor,Meri,874880,14679,13
 Anul 2006, Bihor,Meri,874880,14679,11
 Anul 2006, Bihor,Meri,874880,14679,12
 Anul 2006, Bihor,Meri,874880,14679,13
 Anul 2006, Bihor,Meri,874880,2992,9
 Anul 2006, Bihor,Meri,874880,2992,17
 Anul 2006, Bihor,Meri,874880,2992,13
 Anul 2006, Bihor,Meri,874880,2992,11
 Anul 2006, Bihor,Meri,874880,2992,12
 Anul 2006, Bihor,Meri,874880,2992,13
 Anul 2006, Bihor,Meri,874880,2965,9
 Anul 2006, Bihor,Meri,874880,2965,17
 Anul 2006, Bihor,Meri,874880,2965,13
 Anul 2006, Bihor,Meri,874880,2965,11
 Anul 2006, Bihor,Meri,874880,2965,12
 Anul 2006, Bihor,Meri,874880,2965,13
 Anul 2006, Bihor,Meri,874880,2080,9
 Anul 2006, Bihor,Meri,874880,2080,17
 Anul 2006, Bihor,Meri,874880,2080,13
 Anul 2006, Bihor,Meri,874880,2080,11
 Anul 2006, Bihor,Meri,874880,2080,12
 Anul 2006, Bihor,Meri,874880,2080,13
 Anul 2006, Bihor,Meri,874880,992,9
 Anul 2006, Bihor,Meri,874880,992,17
 Anul 2006, Bihor,Meri,874880,992,13
 Anul 2006, Bihor,Meri,874880,992,11
 Anul 2006, Bihor,Meri,874880,992,12
 Anul 2006, Bihor,Meri,874880,992,13
 Anul 2007, Bihor,Meri,1208586,9981,7
 Anul 2007, Bihor,Meri,1208586,9981,7
 Anul 2007, Bihor,Meri,1208586,9981,8
 Anul 2007, Bihor,Meri,1208586,9981,8
 Anul 2007, Bihor,Meri,1208586,9981,12
 Anul 2007, Bihor,Meri,1208586,9981,16
 Anul 2007, Bihor,Meri,1208586,8078,7
 Anul 2007, Bihor,Meri,1208586,8078,7
 Anul 2007, Bihor,Meri,1208586,8078,8
 Anul 2007, Bihor,Meri,1208586,8078,8
 Anul 2007, Bihor,Meri,1208586,8078,12
 Anul 2007, Bihor,Meri,1208586,8078,16
 Anul 2007, Bihor,Meri,1208586,1771,7
 Anul 2007, Bihor,Meri,1208586,1771,7
