Specie,Judet,An,Numar_Pomi,Kg_pe_Pom,Tone_Totale,Rootstock_ID,lat,lon,puncte_valide,phh2o,clay,sand,silt,soc,nitrogen,cec,temp_medie_an,temp_min_an,temp_max_an,precipitatii_an,zile_inghet_an,radiatie_an,par_an,umiditate_an,evapotrans_an,cdd10_an,cdd0_an,hdd0_an,vant_an,umid_sol_sup_an,umid_sol_rad_an,temp_medie_iarna,temp_min_iarna,temp_max_iarna,precipitatii_iarna,zile_inghet_iarna,radiatie_iarna,umiditate_iarna,evapotrans_iarna,cdd10_iarna,umid_sol_sup_iarna,umid_sol_rad_iarna,temp_medie_primavara,temp_min_primavara,temp_max_primavara,precipitatii_primavara,zile_inghet_primavara,radiatie_primavara,umiditate_primavara,evapotrans_primavara,cdd10_primavara,umid_sol_sup_primavara,umid_sol_rad_primavara,temp_medie_vara,temp_min_vara,temp_max_vara,precipitatii_vara,zile_inghet_vara,radiatie_vara,umiditate_vara,evapotrans_vara,cdd10_vara,umid_sol_sup_vara,umid_sol_rad_vara,temp_medie_toamna,temp_min_toamna,temp_max_toamna,precipitatii_toamna,zile_inghet_toamna,radiatie_toamna,umiditate_toamna,evapotrans_toamna,cdd10_toamna,umid_sol_sup_toamna,umid_sol_rad_toamna
Mere,Alba,2010,516810.0,23.0,11736.0,Semipitic,46.07,23.57,6,6.283,33.189,29.672,37.161,34.439,3.087,25.511,9.59,-15.48,33.13,846.8,101.0,4335.4,1924.9,78.39,615.9,1344.9,3882.9,278.9,1.7,0.649,0.621,-1.9,-15.48,14.79,91.3,48.0,319.9,88.48,0.8,0.0,0.742,0.693,9.11,-9.63,24.99,223.4,16.0,1251.5,79.38,134.6,177.7,0.752,0.708,20.58,6.86,33.13,349.4,0.0,1823.7,72.57,452.0,954.3,0.627,0.599,10.11,-3.71,26.35,117.5,15.0,846.8,73.39,28.2,212.9,0.506,0.513
Mere,Alba,2011,507029.0,31.0,15883.0,Semipitic,46.07,23.57,6,6.283,33.189,29.672,37.161,34.439,3.087,25.511,9.87,-15.87,35.09,494.4,123.0,4857.6,2138.0,70.35,294.6,1543.4,3954.5,218.7,1.58,0.535,0.533,-2.49,-15.87,10.36,59.7,54.0,327.1,87.23,0.1,0.0,0.697,0.647,9.53,-9.81,28.33,119.5,21.0,1520.4,71.97,117.4,194.8,0.648,0.618,20.74,8.11,35.09,258.1,0.0,1884.7,61.73,174.1,980.8,0.5,0.511,10.3,-6.0,32.05,31.5,27.0,1020.4,62.33,3.0,367.8,0.384,0.426
Mere,Alba,2012,546902.0,16.0,8496.0,Semipitic,46.07,23.57,6,6.283,33.189,29.672,37.161,34.439,3.087,25.511,10.42,-26.43,38.34,604.3,118.0,4970.2,2206.9,68.87,251.2,1905.4,4394.2,482.2,1.73,0.486,0.497,-5.97,-26.43,9.51,84.7,60.0,376.1,89.37,0.1,0.0,0.483,0.484,10.53,-9.29,29.0,220.2,24.0,1479.4,68.26,100.3,272.2,0.569,0.558,23.2,8.04,38.34,148.8,0.0,2103.0,52.63,146.2,1204.4,0.445,0.474,12.83,-3.96,32.59,101.7,6.0,906.7,65.78,4.6,428.8,0.428,0.455
Mere,Alba,2013,522632.0,17.0,9017.0,Semipitic,46.07,23.57,6,6.283,33.189,29.672,37.161,34.439,3.087,25.511,10.16,-11.48,35.09,677.9,113.0,4559.6,2018.8,74.49,368.8,1502.1,3988.9,144.2,1.66,0.585,0.567,-0.78,-11.48,12.85,62.6,53.0,320.6,85.9,0.4,0.0,0.635,0.599,9.98,-8.38,28.75,214.5,23.0,1362.1,73.43,135.0,270.7,0.658,0.623,20.76,6.84,35.09,235.6,0.0,1912.3,64.87,197.1,976.5,0.517,0.517,10.61,-4.24,27.25,160.1,10.0,834.9,74.74,36.1,254.9,0.541,0.535
Mere,Alba,2014,487473.0,18.0,8747.0,Semipitic,46.07,23.57,6,6.283,33.189,29.672,37.161,34.439,3.087,25.511,10.87,-15.04,33.62,727.0,77.0,4570.6,2023.5,74.06,424.8,1411.6,4173.2,79.8,1.67,0.567,0.554,2.13,-10.52,17.6,36.9,35.0,326.1,81.89,2.0,0.4,0.619,0.588,10.6,-2.96,24.77,216.9,7.0,1420.8,72.2,131.8,178.3,0.605,0.58,19.79,7.79,33.62,295.7,0.0,1862.7,68.11,266.0,888.5,0.545,0.543,11.28,-3.82,28.31,126.1,14.0,851.4,72.21,24.8,344.4,0.495,0.502
Mere,Alba,2015,530154.0,15.0,7819.0,Semipitic,46.07,23.57,6,6.283,33.189,29.672,37.161,34.439,3.087,25.511,10.89,-14.94,35.32,626.6,107.0,4654.3,2053.8,72.09,283.9,1664.8,4194.0,113.7,1.7,0.585,0.567,-0.37,-14.94,13.12,56.7,47.0,338.3,83.4,0.6,0.0,0.695,0.647,9.55,-5.14,28.39,157.6,31.0,1430.6,72.24,132.7,224.6,0.652,0.618,22.29,8.85,35.1,204.4,0.0,1941.3,56.26,116.2,1115.7,0.461,0.481,11.31,-4.43,35.32,200.2,9.0,827.1,74.71,34.2,324.5,0.549,0.537
Mere,Alba,2016,526772.0,16.0,8669.0,Semipitic,46.07,23.57,6,6.283,33.189,29.672,37.161,34.439,3.087,25.511,10.1,-13.44,33.21,848.0,107.0,4581.2,2028.5,75.81,580.8,1462.2,4005.0,208.4,1.72,0.624,0.596,0.71,-13.44,16.15,68.0,45.0,322.4,84.72,2.0,0.4,0.683,0.638,10.41,-3.83,26.0,243.0,15.0,1403.8,75.32,161.4,216.4,0.683,0.638,20.68,9.35,33.21,340.7,0.0,1908.3,69.52,392.3,964.9,0.59,0.572,9.93,-5.88,30.12,179.5,17.0,824.9,73.41,25.0,280.5,0.546,0.538
Mere,Alba,2017,519021.0,13.0,6833.0,Semipitic,46.07,23.57,6,6.283,33.189,29.672,37.161,34.439,3.087,25.511,10.32,-18.86,37.52,664.4,106.0,4812.6,2127.2,72.82,334.4,1557.2,4105.9,222.2,1.8,0.572,0.557,-2.64,-18.86,16.83,38.1,52.0,366.8,83.92,1.2,0.0,0.678,0.635,10.44,-2.72,25.6,192.0,18.0,1456.0,73.3,132.3,215.9,0.627,0.597,21.86,9.58,37.52,230.8,0.0,2069.0,58.91,185.9,1078.6,0.491,0.502,10.34,-3.46,31.19,164.1,12.0,827.6,73.79,14.9,262.7,0.5,0.502
Mere,Alba,2018,504048.0,30.0,14993.0,Semipitic,46.07,23.57,6,6.283,33.189,29.672,37.161,34.439,3.087,25.511,10.98,-12.12,31.13,740.4,107.0,4678.1,2076.0,74.68,520.1,1759.3,4278.7,152.5,1.59,0.588,0.568,-0.19,-11.44,12.3,66.5,50.0,309.2,84.3,0.2,0.0,0.702,0.653,11.81,-12.12,28.46,159.6,19.0,1516.0,74.12,155.4,395.7,0.661,0.631,20.7,7.37,30.47,368.9,0.0,1810.7,71.85,347.6,971.0,0.595,0.571,11.88,-8.41,31.13,80.1,10.0,951.9,67.02,16.9,392.6,0.452,0.463
Mere,Alba,2019,481916.0,27.0,13057.0,Semipitic,46.07,23.57,6,6.283,33.189,29.672,37.161,34.439,3.087,25.511,11.42,-12.72,35.29,642.4,89.0,4770.3,2112.6,71.42,377.7,1704.1,4419.3,118.3,1.65,0.551,0.544,-1.14,-12.72,12.36,74.6,54.0,338.6,85.97,0.4,0.0,0.663,0.624,10.19,-3.66,25.7,222.2,13.0,1363.2,73.81,125.6,184.5,0.646,0.612,21.9,9.43,35.29,218.2,0.0,2011.4,62.14,246.2,1078.3,0.522,0.523,13.45,-2.75,31.96,102.0,3.0,935.1,65.0,5.1,441.1,0.425,0.452
