Specie,Judet,An,Numar_Pomi,Kg_pe_Pom,Tone_Totale
Mere, Bihor,2022,617652.0,21.0,13096.0
Mere, Bihor,2023,673632.0,20.0,13308.0
Mere, Bihor,2024,669974.0,19.0,12722.0
Mere, Bistrita-Nasaud,2000,3604668.0,8.0,28363.0
Mere, Bistrita-Nasaud,2001,3183135.0,8.0,24801.0
Mere, Bistrita-Nasaud,2002,2787788.0,11.0,31648.0
Mere, Bistrita-Nasaud,2003,2814308.0,10.0,27804.0
Mere, Bistrita-Nasaud,2004,2632764.0,14.0,37739.0
Mere, Bistrita-Nasaud,2005,2695753.0,14.0,39296.0
Mere, Bistrita-Nasaud,2006,2658554.0,14.0,36109.0
Mere, Bistrita-Nasaud,2007,2548142.0,7.0,21748.0
Mere, Bistrita-Nasaud,2008,2607691.0,3.0,8342.0
Mere, Bistrita-Nasaud,2009,1853743.0,10.0,17710.0
Mere, Bistrita-Nasaud,2010,1725942.0,6.0,10999.0
Mere, Bistrita-Nasaud,2011,1960249.0,16.0,31380.0
Mere, Bistrita-Nasaud,2012,1516554.0,14.0,21521.0
Mere, Bistrita-Nasaud,2013,1610269.0,27.0,44047.0
Mere, Bistrita-Nasaud,2014,1645720.0,24.0,39936.0
Mere, Bistrita-Nasaud,2015,1628721.0,20.0,33013.0
Mere, Bistrita-Nasaud,2016,1613245.0,22.0,35150.0
Mere, Bistrita-Nasaud,2017,1536244.0,12.0,18724.0
Mere, Bistrita-Nasaud,2018,1670900.0,19.0,31709.0
Mere, Bistrita-Nasaud,2019,1588640.0,19.0,30672.0
Mere, Bistrita-Nasaud,2020,1395929.0,21.0,29968.0
Mere, Bistrita-Nasaud,2021,1380177.0,21.0,28517.0
Mere, Bistrita-Nasaud,2022,1409663.0,16.0,22789.0
Mere, Bistrita-Nasaud,2023,1374245.0,15.0,21296.0
Mere, Bistrita-Nasaud,2024,1340987.0,16.0,21920.0
Mere, Botosani,2000,680255.0,9.0,5869.0
Mere, Botosani,2001,783812.0,14.0,9212.0
Mere, Botosani,2002,765061.0,13.0,10245.0
Mere, Botosani,2003,800354.0,19.0,14833.0
Mere, Botosani,2004,1344340.0,39.0,52682.0
