Judet,An,Kg_pe_Pom,Rootstock_ID,phh2o,clay,sand,silt,soc,nitrogen,cec,temp_medie_vara,precipitatii_vara,umid_sol_rad_vara,temp_medie_an,precipitatii_an,cdd10_an,precipitatii_toamna,temp_medie_toamna,umid_sol_rad_toamna,zile_inghet_toamna,temp_min_iarna,zile_inghet_iarna
Arad,2008,30.0,2,6.612,46.033,18.642,35.317,23.525,2.699,29.296,23.14,180.5,0.463,12.33,563.5,1878.8,141.9,12.32,0.467,12.0,-11.8,42.0
Arad,2009,28.0,2,6.612,46.033,18.642,35.317,23.525,2.699,29.296,23.06,184.3,0.465,12.33,635.8,2045.5,193.2,13.18,0.487,5.0,-12.17,48.0
Arad,2010,11.0,2,6.612,46.033,18.642,35.317,23.525,2.699,29.296,22.39,264.1,0.568,11.3,862.6,1677.1,147.2,11.53,0.52,8.0,-10.82,46.0
Arad,2011,12.0,2,6.612,46.033,18.642,35.317,23.525,2.699,29.296,23.18,163.8,0.465,11.74,422.1,1942.4,49.3,12.02,0.422,24.0,-11.42,52.0
Arad,2012,13.0,2,6.612,46.033,18.642,35.317,23.525,2.699,29.296,25.38,117.7,0.443,12.31,556.1,2241.9,123.7,14.03,0.452,2.0,-19.23,59.0
Arad,2013,13.0,2,6.612,46.033,18.642,35.317,23.525,2.699,29.296,23.31,133.8,0.486,12.13,635.9,1908.5,131.9,12.68,0.483,8.0,-7.67,47.0
Arad,2014,19.0,2,6.612,46.033,18.642,35.317,23.525,2.699,29.296,22.0,267.5,0.509,12.69,728.5,1787.1,191.5,12.42,0.561,8.0,-8.37,29.0
Arad,2015,13.0,2,6.612,46.033,18.642,35.317,23.525,2.699,29.296,25.09,125.1,0.442,12.89,541.6,2081.9,192.6,12.76,0.501,6.0,-12.37,41.0
Arad,2016,15.0,2,6.612,46.033,18.642,35.317,23.525,2.699,29.296,22.61,327.8,0.536,11.9,804.6,1820.5,199.8,11.65,0.528,15.0,-10.5,34.0
Arad,2017,9.0,2,6.612,46.033,18.642,35.317,23.525,2.699,29.296,24.83,136.8,0.444,12.39,529.1,2019.5,168.9,12.25,0.478,6.0,-17.95,49.0
Arad,2018,16.0,2,6.612,46.033,18.642,35.317,23.525,2.699,29.296,23.4,253.8,0.516,12.87,685.1,2211.7,73.2,13.87,0.441,9.0,-9.04,41.0
Arad,2019,15.0,2,6.612,46.033,18.642,35.317,23.525,2.699,29.296,24.34,182.8,0.501,13.4,604.1,2108.9,99.2,15.01,0.435,1.0,-9.81,52.0
Arad,2020,18.0,2,6.612,46.033,18.642,35.317,23.525,2.699,29.296,22.82,304.1,0.512,12.54,702.8,1902.6,156.1,13.09,0.511,10.0,-6.94,42.0
Arad,2021,17.0,2,6.612,46.033,18.642,35.317,23.525,2.699,29.296,24.83,126.2,0.447,12.22,573.1,1883.2,116.8,12.09,0.457,8.0,-8.75,36.0
Arad,2022,25.0,2,6.612,46.033,18.642,35.317,23.525,2.699,29.296,25.8,110.1,0.424,13.28,524.3,2189.2,203.1,13.27,0.519,4.0,-10.47,41.0
Arad,2023,14.0,2,6.612,46.033,18.642,35.317,23.525,2.699,29.296,24.05,201.1,0.499,13.54,692.2,2154.9,158.0,15.18,0.46,8.0,-8.77,27.0
Arad,2024,11.0,2,6.612,46.033,18.642,35.317,23.525,2.699,29.296,27.29,103.8,0.428,14.63,447.3,2548.8,145.8,12.79,0.457,17.0,-5.57,28.0
Arges,2000,22.0,3,5.763,31.771,34.471,33.758,30.408,3.375,20.342,22.66,34.6,0.464,10.7,216.2,1691.2,62.3,10.88,0.48,7.0,-20.6,58.0
Arges,2001,14.0,3,5.763,31.771,34.471,33.758,30.408,3.375,20.342,21.34,166.6,0.51,10.14,415.6,1564.5,93.8,10.09,0.494,26.0,-10.36,49.0
Arges,2002,11.0,3,5.763,31.771,34.471,33.758,30.408,3.375,20.342,21.39,178.6,0.503,10.27,477.4,1521.5,146.0,10.03,0.537,11.0,-16.81,46.0
Arges,2003,33.0,3,5.763,31.771,34.471,33.758,30.408,3.375,20.342,21.89,169.5,0.527,9.25,636.4,1568.5,243.9,9.04,0.608,18.0,-17.87,59.0
Arges,2004,28.0,3,5.763,31.771,34.471,33.758,30.408,3.375,20.342,20.16,233.3,0.571,9.46,687.6,1343.1,165.4,10.85,0.566,14.0,-16.53,55.0
Arges,2005,18.0,3,5.763,31.771,34.471,33.758,30.408,3.375,20.342,19.26,437.3,0.655,9.01,1063.6,1279.4,228.5,9.5,0.697,20.0,-18.96,51.0
Arges,2006,23.0,3,5.763,31.771,34.471,33.758,30.408,3.375,20.342,20.34,258.1,0.588,9.76,668.4,1413.9,112.4,10.99,0.569,14.0,-22.53,54.0
Arges,2007,20.0,3,5.763,31.771,34.471,33.758,30.408,3.375,20.342,22.97,226.8,0.526,11.09,757.9,1664.5,250.8,9.06,0.624,20.0,-8.75,39.0
Arges,2008,19.0,3,5.763,31.771,34.471,33.758,30.408,3.375,20.342,21.33,222.5,0.565,10.46,682.6,1491.6,157.9,10.37,0.568,19.0,-15.24,51.0
Arges,2009,19.0,3,5.763,31.771,34.471,33.758,30.408,3.375,20.342,21.02,306.4,0.58,10.32,813.4,1541.4,175.6,11.27,0.579,9.0,-13.61,47.0
Arges,2010,28.0,3,5.763,31.771,34.471,33.758,30.408,3.375,20.342,21.22,350.6,0.661,9.66,998.0,1442.3,165.4,10.57,0.59,10.0,-17.42,52.0
Arges,2011,35.0,3,5.763,31.771,34.471,33.758,30.408,3.375,20.342,20.73,252.7,0.581,9.67,571.3,1514.2,49.7,10.28,0.494,29.0,-14.58,57.0
Arges,2012,31.0,3,5.763,31.771,34.471,33.758,30.408,3.375,20.342,23.42,183.0,0.549,10.5,746.3,1905.6,109.1,12.51,0.51,8.0,-22.52,60.0
Arges,2013,34.0,3,5.763,31.771,34.471,33.758,30.408,3.375,20.342,21.15,261.0,0.571,10.3,746.1,1541.6,163.2,10.56,0.589,11.0,-12.35,56.0
Arges,2014,32.0,3,5.763,31.771,34.471,33.758,30.408,3.375,20.342,19.74,351.1,0.642,10.29,966.5,1348.2,151.1,10.39,0.581,15.0,-18.14,43.0
Arges,2015,31.0,3,5.763,31.771,34.471,33.758,30.408,3.375,20.342,22.05,183.7,0.538,10.91,722.7,1627.9,293.5,11.46,0.609,7.0,-17.05,48.0
