Area,Year,Avg_Temp,Total_Precip
Afghanistan,2019,11.442986301369862,451.47
Afghanistan,2020,10.735464480874317,712.85
Afghanistan,2021,12.328904109589041,693.21
Afghanistan,2022,11.734465753424658,801.21
Afghanistan,2023,12.355863013698631,387.7
Albania,2019,13.422849315068493,770.53
Albania,2020,13.106639344262295,727.46
Albania,2021,12.926027397260274,937.74
Albania,2022,13.66331506849315,728.1899999999999
Albania,2023,13.811534246575343,885.23
Romania,2019,13.577753424657535,555.56
Romania,2020,13.434562841530056,609.92
Romania,2021,12.080712328767124,695.37
Romania,2022,13.58131506849315,424.94
Romania,2023,14.374356164383563,492.89
